customer_id,plan,monthly_charges,contract_type
91,Standard,50.64,Month-to-month
92,Standard,55.89,Month-to-month
93,Standard,66.57,Month-to-month
94,Standard,75.33,One year
95,Premium,121.41,Month-to-month
96,Standard,83.54,Month-to-month
97,Premium,110.69,Two year
98,Standard,57.07,One year
99,Standard,81.54,Month-to-month
100,Basic,43.9,Two year
101,Premium,141.63,Month-to-month
102,Basic,25.39,Two year
103,Standard,71.67,Month-to-month
104,Standard,75.16,Month-to-month
105,Basic,21.99,Month-to-month
106,Basic,40.31,Month-to-month
107,Standard,82.83,One year
108,Standard,61.19,One year
109,Premium,142.54,Month-to-month
110,Premium,147.68,One year
111,Basic,24.09,Month-to-month
112,Standard,52.27,One year
113,Basic,22.25,Month-to-month
114,Basic,34.49,One year
115,Basic,20.81,One year
116,Basic,37.62,One year
117,Standard,77.01,Two year
118,Basic,26.02,Month-to-month
119,Standard,66.57,Month-to-month
120,Standard,54.67,Month-to-month
121,Basic,42.7,Month-to-month
122,Basic,42.62,Month-to-month
123,Basic,36.46,Month-to-month
124,Basic,23.36,Two year
125,Standard,52.82,Month-to-month
126,Premium,106.88,One year
127,Standard,79.36,One year
128,Premium,128.89,Month-to-month
129,Standard,68.36,One year
130,Standard,83.39,Two year
131,Basic,36.64,One year
132,Standard,73.76,Two year
133,Basic,36.06,Month-to-month
134,Basic,38.14,One year
135,Basic,21.23,Two year
136,Standard,81.93,Month-to-month
137,Premium,105.26,One year
138,Basic,40.54,Two year
139,Basic,35.26,Month-to-month
140,Basic,40.98,Two year
141,Basic,38.49,Month-to-month
142,Premium,113.16,Month-to-month
143,Premium,125.7,Month-to-month
144,Basic,29.01,Two year
145,Basic,29.43,One year
146,Standard,71.27,Two year
147,Basic,23.98,Month-to-month
148,Premium,139.4,Month-to-month
149,Standard,55.88,Month-to-month
150,Basic,23.82,One year
151,Basic,31.33,Month-to-month
152,Standard,60.66,One year
153,Basic,27.08,Month-to-month
154,Standard,73.98,Month-to-month
155,Standard,79.73,Month-to-month
156,Basic,34.48,Month-to-month
157,Basic,43.78,Month-to-month
158,Basic,41.96,Two year
159,Standard,53.67,Month-to-month
160,Basic,43.51,One year
161,Premium,131.1,One year
162,Basic,39.38,Two year
163,Standard,64.97,One year
164,Standard,69.16,Two year
165,Basic,43.04,One year
166,Basic,41.84,Month-to-month
167,Basic,21.09,One year
168,Standard,80.79,Two year
169,Basic,38.73,Month-to-month
170,Premium,95.72,Month-to-month
171,Standard,57.65,One year
172,Basic,28.99,One year
173,Standard,78.12,Two year
174,Basic,29.52,Month-to-month
175,Basic,27.85,Two year
176,Basic,20.47,One year
177,Basic,44.7,Two year
178,Standard,62.63,Month-to-month
179,Standard,76.28,Month-to-month
180,Basic,26.77,One year
181,Basic,25.98,Month-to-month
182,Standard,76.14,One year
183,Basic,39.17,Month-to-month
184,Standard,77.61,Month-to-month
185,Basic,23.54,Two year
186,Basic,39.6,Month-to-month
187,Standard,68.43,Month-to-month
188,Basic,21.45,Month-to-month
189,Basic,30.19,Month-to-month
190,Standard,78.42,Month-to-month
191,Basic,39.79,Month-to-month
192,Basic,21.72,Month-to-month
193,Standard,73.53,Month-to-month
194,Standard,68.59,Month-to-month
195,Standard,50.51,One year
196,Basic,43.21,One year
197,Basic,24.9,Month-to-month
198,Basic,21.34,One year
199,Standard,79.64,One year
200,Premium,119.34,Month-to-month
201,Basic,23.22,Month-to-month
202,Basic,20.98,One year
203,Standard,79.23,One year
204,Standard,70.71,One year
205,Standard,74.61,One year
206,Basic,21.22,Two year
207,Standard,82.43,Month-to-month
208,Standard,71.77,Two year
209,Standard,58.83,One year
210,Standard,58.98,Two year
211,Standard,84.22,Month-to-month
212,Premium,92.03,Month-to-month
213,Standard,62.65,Month-to-month
214,Premium,123.33,One year
215,Standard,77.06,Month-to-month
216,Standard,72.53,One year
217,Basic,39.43,One year
218,Basic,41.91,Two year
219,Standard,79.74,Month-to-month
220,Basic,32.23,Month-to-month
221,Standard,51.97,Two year
222,Standard,61.28,One year
223,Premium,143.4,Month-to-month
224,Premium,108.86,One year
225,Basic,31.8,Month-to-month
226,Basic,20.14,Month-to-month
227,Basic,27.8,One year
228,Basic,30.28,One year
229,Premium,131.32,Month-to-month
230,Standard,63.43,Month-to-month
231,Basic,31.94,Two year
232,Basic,39.12,Month-to-month
233,Basic,35.93,Month-to-month
234,Standard,66.49,One year
235,Basic,43.73,One year
236,Basic,29.21,Month-to-month
237,Basic,29.05,One year
238,Standard,54.07,Month-to-month
239,Basic,29.35,One year
240,Standard,55.66,Two year
241,Basic,31.43,One year
242,Basic,29.49,Month-to-month
243,Basic,35.37,One year
244,Standard,80.31,Month-to-month
245,Premium,115.35,Month-to-month
246,Premium,141.38,Month-to-month
247,Basic,27.98,Month-to-month
248,Premium,93.08,Month-to-month
249,Premium,111.14,Two year
250,Standard,61.69,One year
251,Premium,125.86,One year
252,Basic,34.93,Month-to-month
253,Premium,96.36,Month-to-month
254,Basic,37.75,Month-to-month
255,Premium,103.45,Month-to-month
256,Basic,35.12,Month-to-month
257,Basic,41.35,Two year
258,Premium,148.72,Month-to-month
259,Basic,40.23,One year
260,Standard,82.39,Month-to-month
261,Premium,95.81,Month-to-month
262,Premium,106.45,Month-to-month
263,Standard,65.52,One year
264,Standard,76.95,Month-to-month
265,Premium,125.47,Two year
266,Premium,139.65,Month-to-month
267,Basic,28.82,One year
268,Standard,66.65,Month-to-month
269,Premium,136.88,Month-to-month
270,Basic,39.28,One year
271,Standard,71.47,Month-to-month
272,Standard,68.72,One year
273,Basic,26.97,Month-to-month
274,Standard,77.47,One year
275,Premium,102.16,Month-to-month
276,Basic,38.62,Month-to-month
277,Standard,51.12,Month-to-month
278,Standard,59.0,Month-to-month
279,Basic,44.52,One year
280,Premium,116.35,Month-to-month
281,Basic,29.65,Two year
282,Basic,27.81,Two year
283,Premium,91.16,Month-to-month
284,Basic,44.74,Two year
285,Standard,55.96,Month-to-month
286,Standard,59.95,Month-to-month
287,Premium,145.34,One year
288,Standard,71.83,Two year
289,Standard,57.29,Month-to-month
290,Premium,125.32,One year
291,Premium,149.14,One year
292,Premium,117.5,One year
293,Standard,57.86,Month-to-month
294,Basic,30.59,One year
295,Basic,36.56,Month-to-month
296,Standard,62.52,Month-to-month
297,Premium,137.49,Month-to-month
298,Basic,29.57,Month-to-month
299,Premium,100.34,One year
300,Standard,56.63,Month-to-month
301,Standard,52.99,Month-to-month
302,Basic,37.94,Two year
303,Basic,34.94,Month-to-month
304,Standard,64.21,Month-to-month
305,Basic,26.24,Month-to-month
306,Premium,105.87,One year
307,Basic,22.8,Month-to-month
308,Basic,38.13,One year
309,Basic,28.08,Month-to-month
310,Standard,64.79,Two year
311,Standard,81.34,Two year
312,Basic,25.55,Month-to-month
313,Basic,28.83,One year
314,Premium,109.37,Month-to-month
315,Basic,20.06,One year
316,Standard,75.92,Month-to-month
317,Basic,41.7,Two year
318,Basic,34.02,Two year
319,Standard,84.19,Two year
320,Standard,56.05,One year
321,Standard,83.4,Month-to-month
322,Premium,148.69,One year
323,Standard,72.52,Month-to-month
324,Basic,34.24,Month-to-month
325,Standard,78.02,Two year
326,Basic,25.51,Month-to-month
327,Basic,39.84,Month-to-month
328,Basic,41.25,Month-to-month
329,Basic,33.52,Two year
330,Premium,98.83,Month-to-month
331,Premium,131.19,Month-to-month
332,Standard,70.13,One year
333,Basic,21.31,One year
334,Basic,29.93,One year
335,Premium,118.03,One year
336,Premium,124.46,One year
337,Standard,76.63,Month-to-month
338,Premium,113.63,Month-to-month
339,Premium,90.29,Month-to-month
340,Basic,30.34,Month-to-month
341,Basic,29.19,One year
342,Standard,71.24,Two year
343,Premium,141.23,One year
344,Premium,91.88,Two year
345,Basic,40.96,Month-to-month
346,Standard,79.96,Month-to-month
347,Standard,71.7,Two year
348,Basic,33.92,One year
349,Basic,31.95,Month-to-month
350,Basic,29.72,One year
351,Standard,54.63,Month-to-month
352,Basic,36.8,Month-to-month
353,Premium,128.56,One year
354,Premium,94.67,Month-to-month
355,Basic,37.95,Month-to-month
356,Standard,78.04,Month-to-month
357,Premium,105.14,Two year
358,Standard,59.95,Month-to-month
359,Standard,62.52,One year
360,Basic,32.3,Month-to-month
361,Premium,125.9,Month-to-month
362,Premium,115.53,Two year
363,Standard,55.73,Month-to-month
364,Basic,23.78,One year
365,Standard,70.74,Two year
366,Premium,98.64,One year
367,Standard,62.45,Month-to-month
368,Standard,63.9,Month-to-month
369,Basic,28.04,Month-to-month
370,Premium,93.71,Two year
371,Basic,43.15,Month-to-month
372,Standard,77.92,Two year
373,Basic,37.94,Month-to-month
374,Standard,81.32,Two year
375,Standard,69.62,Month-to-month
376,Basic,28.05,Two year
377,Basic,32.98,One year
378,Premium,97.25,Two year
379,Basic,21.28,Month-to-month
380,Basic,32.75,Month-to-month
381,Basic,20.0,One year
382,Premium,127.46,Two year
383,Standard,58.15,Month-to-month
384,Basic,33.69,Month-to-month
385,Basic,31.33,Month-to-month
386,Standard,79.65,Month-to-month
387,Standard,63.86,One year
388,Standard,76.6,Month-to-month
389,Basic,39.93,Month-to-month
390,Basic,23.55,One year
391,Basic,44.22,Month-to-month
392,Standard,78.27,Month-to-month
393,Basic,40.87,Two year
394,Basic,29.18,Month-to-month
395,Standard,79.84,One year
396,Basic,23.52,One year
397,Standard,63.26,Month-to-month
398,Standard,64.63,One year
399,Premium,119.16,Month-to-month
400,Basic,34.94,One year
401,Standard,79.27,Month-to-month
402,Standard,78.95,Two year
403,Basic,23.8,Two year
404,Premium,101.5,One year
405,Premium,133.23,Month-to-month
406,Basic,31.3,Month-to-month
407,Standard,54.71,Month-to-month
408,Premium,108.67,Two year
409,Basic,44.61,Month-to-month
410,Basic,25.66,Month-to-month
411,Basic,39.26,One year
412,Standard,51.75,Month-to-month
413,Standard,65.07,Two year
414,Basic,21.89,Month-to-month
415,Standard,76.56,Two year
416,Basic,32.47,Two year
417,Basic,40.16,One year
418,Premium,124.9,Month-to-month
419,Standard,67.44,One year
420,Basic,43.84,One year
421,Premium,129.28,Two year
422,Basic,35.85,Month-to-month
423,Standard,51.86,Month-to-month
424,Standard,73.29,Month-to-month
425,Standard,84.93,Month-to-month
426,Basic,22.47,Month-to-month
427,Basic,41.01,Month-to-month
428,Basic,25.76,Month-to-month
429,Basic,20.42,Month-to-month
430,Basic,27.91,Month-to-month
431,Standard,51.66,One year
432,Standard,54.46,Two year
433,Standard,83.33,Month-to-month
434,Premium,147.77,One year
435,Standard,59.44,One year
436,Basic,25.17,Two year
437,Premium,123.91,Month-to-month
438,Basic,31.75,Month-to-month
439,Basic,31.42,One year
440,Basic,38.71,Month-to-month
441,Premium,110.86,Month-to-month
442,Basic,37.26,One year
443,Premium,117.67,One year
444,Premium,139.26,Month-to-month
445,Premium,94.05,Two year
446,Premium,145.38,Month-to-month
447,Basic,22.33,Month-to-month
448,Standard,58.61,Month-to-month
449,Basic,25.45,Two year
450,Premium,103.37,Month-to-month
451,Basic,41.51,Month-to-month
452,Basic,29.77,Month-to-month
453,Basic,28.68,Two year
454,Standard,50.56,Two year
455,Basic,40.89,Two year
456,Basic,41.72,Month-to-month
457,Basic,35.57,One year
458,Standard,54.86,One year
459,Standard,55.12,Month-to-month
460,Premium,130.8,One year
461,Standard,77.62,Month-to-month
462,Standard,60.18,Month-to-month
463,Standard,73.35,One year
464,Premium,90.8,Month-to-month
465,Standard,57.61,Month-to-month
466,Standard,84.69,Month-to-month
467,Basic,22.92,Month-to-month
468,Premium,127.74,One year
469,Basic,21.85,Two year
470,Standard,60.81,Month-to-month
471,Premium,148.79,Month-to-month
472,Basic,26.22,One year
473,Basic,31.55,Month-to-month
474,Premium,119.11,One year
475,Basic,34.57,Month-to-month
476,Basic,26.48,Two year
477,Basic,34.62,Month-to-month
478,Standard,67.21,Month-to-month
479,Basic,34.79,Month-to-month
480,Standard,75.67,Month-to-month
481,Standard,52.36,One year
482,Basic,31.81,One year
483,Basic,41.18,One year
484,Basic,20.58,Two year
485,Standard,84.54,Two year
486,Basic,23.48,Two year
487,Premium,125.09,Month-to-month
488,Standard,50.32,One year
489,Premium,148.27,One year
490,Premium,108.76,Month-to-month
491,Standard,67.36,Month-to-month
492,Basic,34.49,Month-to-month
493,Basic,39.73,Month-to-month
494,Basic,32.65,Month-to-month
495,Premium,101.58,Two year
496,Premium,148.34,Two year
497,Standard,75.9,Month-to-month
498,Standard,68.51,Two year
499,Standard,60.99,Two year
500,Basic,22.6,One year
501,Basic,38.93,One year
502,Standard,53.54,Two year
503,Standard,77.74,Month-to-month
504,Standard,78.42,One year
505,Standard,80.11,Month-to-month
506,Basic,26.29,Two year
507,Standard,69.27,Two year
508,Standard,72.52,One year
509,Basic,32.61,Month-to-month
510,Premium,105.98,Two year
511,Standard,59.75,One year
512,Basic,24.19,Month-to-month
513,Basic,20.64,One year
514,Basic,43.88,Month-to-month
515,Basic,39.47,Month-to-month
516,Premium,129.91,Two year
517,Basic,24.46,One year
518,Standard,73.32,Month-to-month
519,Standard,74.65,One year
520,Standard,72.99,Month-to-month
521,Basic,30.04,Two year
522,Premium,95.29,Month-to-month
523,Basic,34.48,Month-to-month
524,Standard,81.97,Month-to-month
525,Basic,26.94,One year
526,Premium,137.76,Month-to-month
527,Basic,30.29,Month-to-month
528,Premium,96.13,Month-to-month
529,Standard,75.19,One year
530,Basic,40.99,Month-to-month
531,Standard,67.33,Two year
532,Basic,26.34,One year
533,Basic,31.1,Month-to-month
534,Standard,81.01,Month-to-month
535,Basic,20.85,Month-to-month
536,Standard,66.22,Month-to-month
537,Standard,52.35,Month-to-month
538,Standard,67.39,One year
539,Premium,149.14,Two year
540,Standard,58.54,Month-to-month
541,Basic,43.79,Month-to-month
542,Basic,36.04,Month-to-month
543,Basic,20.43,Month-to-month
544,Basic,30.32,Month-to-month
545,Standard,57.73,Two year
546,Standard,56.76,Month-to-month
547,Basic,33.17,Month-to-month
548,Standard,57.48,Month-to-month
549,Premium,109.36,Two year
550,Standard,74.46,Month-to-month
551,Basic,28.7,Two year
552,Basic,42.85,One year
553,Standard,72.43,Month-to-month
554,Basic,23.76,One year
555,Basic,28.27,Month-to-month
556,Standard,84.98,One year
557,Basic,28.3,Month-to-month
558,Basic,34.82,Month-to-month
559,Basic,22.56,One year
560,Basic,36.46,One year
561,Standard,61.48,Month-to-month
562,Standard,63.51,Month-to-month
563,Basic,34.3,Month-to-month
564,Standard,62.17,One year
565,Basic,22.17,Two year
566,Standard,58.09,Month-to-month
567,Standard,75.08,Month-to-month
568,Standard,56.13,One year
569,Basic,29.05,Month-to-month
570,Premium,98.19,Month-to-month
571,Premium,104.02,One year
572,Standard,52.82,Two year
573,Basic,29.78,Month-to-month
574,Basic,45.0,Month-to-month
575,Basic,22.32,Month-to-month
576,Basic,33.61,Month-to-month
577,Premium,119.77,Two year
578,Standard,54.39,Month-to-month
579,Standard,73.84,Two year
580,Basic,28.3,Two year
581,Premium,131.25,Month-to-month
582,Basic,28.18,Two year
583,Basic,36.86,Month-to-month
584,Premium,109.33,Month-to-month
585,Premium,140.24,Month-to-month
586,Premium,92.02,One year
587,Premium,92.0,Two year
588,Basic,23.97,Month-to-month
589,Basic,21.85,Month-to-month
590,Standard,81.16,Month-to-month
591,Basic,39.2,Month-to-month
592,Basic,33.01,Month-to-month
593,Premium,100.35,Month-to-month
594,Premium,99.16,Two year
595,Standard,51.17,Two year
596,Standard,55.02,One year
597,Basic,35.98,One year
598,Premium,125.54,One year
599,Basic,27.06,Month-to-month
600,Basic,35.88,Month-to-month
601,Standard,70.46,Month-to-month
602,Standard,74.43,Two year
603,Premium,93.92,One year
604,Basic,38.49,Month-to-month
605,Standard,82.22,Two year
606,Premium,104.45,Month-to-month
607,Standard,65.73,One year
608,Basic,31.94,Two year
609,Basic,27.33,One year
610,Standard,66.3,Month-to-month
611,Premium,95.01,One year
612,Basic,21.13,Two year
613,Standard,59.62,One year
614,Standard,55.61,One year
615,Standard,78.85,Two year
616,Standard,80.53,Month-to-month
617,Standard,71.86,Two year
618,Basic,38.77,Two year
619,Basic,28.93,Month-to-month
620,Standard,75.6,One year
621,Standard,70.39,Month-to-month
622,Basic,28.63,One year
623,Standard,52.82,Month-to-month
624,Basic,38.13,Month-to-month
625,Standard,52.12,Two year
626,Premium,104.6,Month-to-month
627,Basic,38.93,One year
628,Premium,126.58,One year
629,Premium,103.48,Month-to-month
630,Basic,39.5,One year
631,Basic,32.33,One year
632,Standard,51.74,Two year
633,Basic,23.02,Two year
634,Premium,120.19,One year
635,Basic,25.17,Two year
636,Premium,130.05,Month-to-month
637,Basic,43.66,Month-to-month
638,Premium,141.62,Month-to-month
639,Basic,44.96,Month-to-month
640,Basic,35.17,One year
641,Premium,104.92,Month-to-month
642,Standard,73.84,Month-to-month
643,Standard,84.3,Month-to-month
644,Basic,20.78,Month-to-month
645,Basic,20.83,Two year
646,Basic,26.99,Two year
647,Standard,50.71,Month-to-month
648,Basic,36.64,Month-to-month
649,Standard,54.06,One year
650,Standard,76.16,Two year
651,Premium,137.84,Month-to-month
652,Basic,24.0,Month-to-month
653,Basic,24.91,Month-to-month
654,Basic,22.62,Month-to-month
655,Standard,81.67,Two year
656,Standard,51.76,One year
657,Premium,114.23,One year
658,Basic,34.58,One year
659,Standard,79.09,One year
660,Standard,58.59,Month-to-month
661,Basic,27.29,Month-to-month
662,Basic,32.49,One year
663,Standard,53.28,Month-to-month
664,Standard,60.94,Month-to-month
665,Basic,28.75,Two year
666,Basic,30.39,Month-to-month
667,Premium,148.09,Month-to-month
668,Basic,41.64,Month-to-month
669,Standard,58.75,Month-to-month
670,Basic,31.71,Month-to-month
671,Premium,123.48,One year
672,Basic,28.08,One year
673,Basic,36.9,Two year
674,Premium,138.04,Two year
675,Basic,28.33,Month-to-month
676,Premium,100.22,Month-to-month
677,Basic,38.7,Month-to-month
678,Basic,21.71,One year
679,Standard,80.75,Month-to-month
680,Basic,30.21,One year
681,Basic,30.17,Month-to-month
682,Basic,20.6,Two year
683,Standard,78.82,Two year
684,Basic,29.21,Two year
685,Premium,94.9,One year
686,Standard,70.16,One year
687,Standard,52.88,One year
688,Basic,36.42,Month-to-month
689,Standard,80.7,Month-to-month
690,Basic,21.31,Month-to-month
691,Standard,54.05,Month-to-month
692,Premium,104.58,One year
693,Standard,82.18,One year
694,Standard,54.83,Month-to-month
695,Basic,33.1,Two year
696,Standard,52.8,Month-to-month
697,Premium,100.12,One year
698,Basic,32.71,Two year
699,Standard,81.89,Month-to-month
700,Basic,20.22,Month-to-month
701,Basic,44.44,Month-to-month
702,Basic,24.63,One year
703,Basic,24.18,One year
704,Standard,60.88,Month-to-month
705,Basic,34.69,Month-to-month
706,Basic,29.31,One year
707,Premium,97.02,Month-to-month
708,Standard,63.58,Month-to-month
709,Basic,27.72,Month-to-month
710,Basic,32.23,Month-to-month
711,Basic,41.2,One year
712,Basic,38.32,One year
713,Premium,135.71,Two year
714,Premium,142.4,Two year
715,Premium,108.01,Month-to-month
716,Basic,20.41,Two year
717,Premium,135.87,Month-to-month
718,Premium,124.57,One year
719,Standard,79.4,Month-to-month
720,Standard,56.36,Month-to-month
721,Basic,38.83,Month-to-month
722,Standard,66.82,Month-to-month
723,Basic,33.47,One year
724,Basic,39.54,Month-to-month
725,Basic,31.09,Month-to-month
726,Basic,40.29,Two year
727,Basic,29.88,One year
728,Standard,76.29,One year
729,Standard,84.32,Two year
730,Basic,23.99,One year
731,Basic,22.02,Month-to-month
732,Basic,28.44,One year
733,Standard,54.1,Month-to-month
734,Standard,64.04,Month-to-month
735,Basic,27.86,Two year
736,Basic,32.59,Month-to-month
737,Basic,33.26,Two year
738,Premium,96.45,Month-to-month
739,Premium,146.68,One year
740,Basic,38.15,Month-to-month
741,Basic,37.66,One year
742,Standard,65.18,Month-to-month
743,Basic,25.76,Two year
744,Basic,28.25,Month-to-month
745,Basic,43.29,One year
746,Standard,81.65,Two year
747,Standard,66.31,Two year
748,Basic,27.07,One year
749,Basic,30.6,One year
750,Standard,82.98,Month-to-month
751,Standard,73.25,Month-to-month
752,Standard,73.22,Month-to-month
753,Basic,40.66,One year
754,Basic,32.85,Month-to-month
755,Standard,63.62,One year
756,Standard,78.01,Month-to-month
757,Standard,63.17,Two year
758,Standard,59.2,Month-to-month
759,Standard,69.11,One year
760,Premium,119.46,One year
761,Standard,77.14,Month-to-month
762,Premium,107.56,Two year
763,Standard,69.01,Month-to-month
764,Standard,67.44,One year
765,Standard,53.95,One year
766,Basic,40.31,Month-to-month
767,Basic,28.91,Month-to-month
768,Standard,52.48,Two year
769,Premium,125.86,Month-to-month
770,Basic,39.2,One year
771,Premium,112.09,Month-to-month
772,Premium,122.1,Month-to-month
773,Basic,22.64,Two year
774,Standard,83.11,One year
775,Basic,32.14,One year
776,Premium,105.6,One year
777,Premium,107.23,Month-to-month
778,Standard,74.72,Month-to-month
779,Premium,139.6,Two year
780,Basic,23.43,Two year
781,Basic,30.26,Month-to-month
782,Standard,83.3,One year
783,Standard,73.47,Month-to-month
784,Premium,133.29,Month-to-month
785,Premium,130.24,Month-to-month
786,Basic,34.88,Month-to-month
787,Premium,111.97,One year
788,Basic,34.2,Two year
789,Standard,67.93,Two year
790,Basic,25.92,Month-to-month
791,Premium,109.72,Month-to-month
792,Standard,58.62,Month-to-month
793,Basic,36.8,One year
794,Premium,102.87,Month-to-month
795,Basic,44.35,Month-to-month
796,Basic,36.73,One year
797,Basic,31.67,One year
798,Premium,106.04,Month-to-month
799,Basic,23.27,Two year
800,Standard,57.04,Month-to-month
801,Standard,55.1,Month-to-month
802,Basic,35.18,Month-to-month
803,Premium,93.88,Month-to-month
804,Standard,68.03,One year
805,Premium,121.58,One year
806,Premium,97.7,Month-to-month
807,Basic,26.95,One year
808,Standard,60.93,Two year
809,Premium,102.81,One year
810,Basic,44.46,Month-to-month
811,Basic,33.98,Month-to-month
812,Standard,54.58,Month-to-month
813,Standard,60.59,Month-to-month
814,Standard,66.65,One year
815,Standard,67.79,Month-to-month
816,Basic,34.16,Two year
817,Basic,34.8,One year
818,Premium,145.75,Month-to-month
819,Standard,74.15,Month-to-month
820,Standard,76.95,Month-to-month
821,Basic,20.56,Month-to-month
822,Basic,30.49,Month-to-month
823,Basic,42.29,Month-to-month
824,Standard,82.81,One year
825,Basic,28.81,Two year
826,Basic,21.6,One year
827,Premium,149.23,Two year
828,Standard,56.92,Month-to-month
829,Basic,23.3,Month-to-month
830,Basic,34.7,One year
831,Standard,75.27,Two year
832,Basic,25.52,One year
833,Standard,83.98,One year
834,Standard,66.32,Month-to-month
835,Basic,32.54,One year
836,Premium,140.24,Two year
837,Basic,25.39,One year
838,Standard,76.14,Two year
839,Standard,56.04,Month-to-month
840,Basic,32.47,One year
841,Standard,65.93,Month-to-month
842,Basic,30.6,Two year
843,Standard,74.45,Month-to-month
844,Basic,26.34,One year
845,Standard,68.37,One year
846,Standard,76.96,Two year
847,Standard,74.9,Month-to-month
848,Basic,40.89,Month-to-month
849,Premium,100.89,Month-to-month
850,Standard,50.29,Month-to-month
851,Standard,52.33,One year
852,Basic,43.26,Month-to-month
853,Standard,50.45,Two year
854,Basic,24.42,Month-to-month
855,Basic,36.87,Two year
856,Standard,83.11,One year
857,Premium,126.71,One year
858,Basic,41.01,Month-to-month
859,Premium,109.02,One year
860,Premium,92.82,Month-to-month
861,Basic,27.47,Month-to-month
862,Basic,28.28,Month-to-month
863,Basic,22.53,Month-to-month
864,Standard,68.4,Two year
865,Basic,21.39,One year
866,Basic,21.41,Month-to-month
867,Basic,26.77,Two year
868,Standard,67.69,Month-to-month
869,Standard,56.13,Two year
870,Basic,37.23,Month-to-month
871,Basic,44.78,Month-to-month
872,Basic,34.74,Month-to-month
873,Basic,32.05,Month-to-month
874,Basic,43.77,One year
875,Premium,104.19,Month-to-month
876,Standard,69.51,One year
877,Standard,83.75,Month-to-month
878,Basic,29.48,Month-to-month
879,Standard,64.16,Month-to-month
880,Basic,32.42,One year
881,Basic,20.5,Month-to-month
882,Basic,26.77,One year
883,Basic,37.65,One year
884,Standard,64.15,One year
885,Standard,51.42,Month-to-month
886,Standard,58.54,Month-to-month
887,Premium,134.26,Month-to-month
888,Basic,21.21,Two year
889,Standard,65.69,Month-to-month
890,Standard,61.07,One year
891,Basic,40.53,One year
892,Premium,134.32,One year
893,Premium,131.12,Month-to-month
894,Basic,38.46,One year
895,Basic,22.29,One year
896,Basic,40.29,Month-to-month
897,Basic,22.06,Month-to-month
898,Standard,59.56,Month-to-month
899,Basic,32.87,Month-to-month
900,Standard,59.93,Two year
901,Standard,59.2,Two year
902,Basic,38.68,Month-to-month
903,Basic,22.55,Month-to-month
904,Premium,145.61,Month-to-month
905,Premium,105.15,Month-to-month
906,Premium,132.11,One year
907,Standard,53.13,One year
908,Basic,34.14,Two year
909,Premium,149.66,One year
910,Basic,42.26,One year
911,Standard,53.85,Month-to-month
912,Basic,20.08,Two year
913,Basic,21.11,Month-to-month
914,Basic,39.42,Month-to-month
