customerid,billmonth,month,monthlycharge,totalamount,payment,paymentdate
56,2026-05-01,5,72.8,77.9,77.9,2026-05-05
57,2026-05-01,5,30.4,32.53,32.53,2026-05-05
58,2026-05-01,5,78.14,83.61,83.61,2026-05-09
59,2026-05-01,5,62.82,67.22,67.22,2026-05-05
60,2026-05-01,5,26.52,28.38,28.38,2026-05-07
61,2026-05-01,5,52.02,55.66,55.66,2026-05-05
62,2026-05-01,5,137.66,147.3,147.3,2026-05-06
63,2026-05-01,5,76.37,81.72,81.72,2026-05-06
64,2026-05-01,5,40.47,43.3,43.3,2026-05-07
65,2026-05-01,5,52.96,56.67,56.67,2026-05-05
66,2026-05-01,5,41.78,44.7,44.7,2026-05-07
67,2026-05-01,5,40.84,43.7,43.7,2026-05-28
68,2026-05-01,5,29.56,31.63,31.63,2026-05-06
69,2026-05-01,5,27.37,29.29,29.29,2026-05-07
70,2026-05-01,5,31.05,33.22,33.22,2026-05-05
71,2026-05-01,5,33.6,35.95,35.95,2026-05-06
72,2026-05-01,5,33.71,36.07,36.07,2026-05-22
73,2026-05-01,5,135.07,144.52,144.52,2026-06-05
74,2026-05-01,5,26.37,28.22,28.22,2026-05-05
75,2026-05-01,5,122.07,130.61,130.61,2026-05-07
76,2026-05-01,5,55.12,58.98,58.98,2026-05-05
77,2026-05-01,5,35.94,38.46,38.46,2026-05-05
78,2026-05-01,5,60.51,64.75,64.75,2026-05-07
79,2026-05-01,5,90.49,96.82,96.82,2026-05-07
80,2026-05-01,5,62.23,66.59,66.59,2026-05-06
81,2026-05-01,5,73.02,78.13,78.13,2026-05-05
82,2026-05-01,5,26.29,28.13,28.13,2026-05-07
83,2026-05-01,5,94.37,100.98,100.98,2026-05-09
84,2026-05-01,5,32.05,34.29,34.29,2026-05-07
85,2026-05-01,5,131.69,140.91,140.91,2026-05-06
86,2026-05-01,5,21.9,23.43,23.43,2026-05-05
87,2026-05-01,5,24.28,25.98,25.98,2026-05-05
88,2026-05-01,5,70.99,75.96,75.96,2026-05-05
89,2026-05-01,5,30.04,32.14,32.14,2026-05-05
90,2026-05-01,5,124.33,133.03,133.03,2026-05-09
91,2026-05-01,5,50.64,54.18,54.18,2026-05-05
92,2026-05-01,5,55.89,59.8,59.8,2026-05-08
93,2026-05-01,5,66.57,71.23,71.23,2026-05-05
94,2026-05-01,5,75.33,80.6,80.6,2026-05-05
95,2026-05-01,5,121.41,129.91,129.91,2026-05-06
96,2026-05-01,5,83.54,89.39,89.39,2026-05-05
97,2026-05-01,5,110.69,118.44,118.44,2026-05-05
98,2026-05-01,5,57.07,61.06,61.06,2026-05-26
99,2026-05-01,5,81.54,87.25,87.25,2026-05-05
100,2026-05-01,5,43.9,46.97,46.97,2026-05-07
101,2026-05-01,5,141.63,151.54,151.54,2026-05-05
102,2026-05-01,5,25.39,27.17,27.17,2026-05-05
103,2026-05-01,5,71.67,76.69,76.69,2026-05-08
104,2026-05-01,5,75.16,80.42,80.42,2026-05-05
105,2026-05-01,5,21.99,23.53,23.53,2026-05-05
106,2026-05-01,5,40.31,43.13,43.13,2026-05-06
107,2026-05-01,5,82.83,88.63,88.63,2026-05-07
108,2026-05-01,5,61.19,65.47,65.47,2026-05-05
109,2026-05-01,5,142.54,152.52,152.52,2026-05-07
110,2026-05-01,5,147.68,158.02,158.02,2026-05-05
111,2026-05-01,5,24.09,25.78,25.78,2026-05-09
112,2026-05-01,5,52.27,55.93,55.93,2026-05-05
113,2026-05-01,5,22.25,23.81,23.81,2026-05-05
114,2026-05-01,5,34.49,36.9,36.9,2026-05-06
115,2026-05-01,5,20.81,22.27,22.27,2026-06-04
116,2026-05-01,5,37.62,40.25,40.25,2026-05-07
117,2026-05-01,5,77.01,82.4,82.4,2026-05-06
118,2026-05-01,5,26.02,27.84,27.84,2026-05-05
119,2026-05-01,5,66.57,71.23,71.23,2026-05-07
120,2026-05-01,5,54.67,58.5,58.5,2026-05-05
121,2026-05-01,5,42.7,45.69,45.69,2026-05-05
122,2026-05-01,5,42.62,45.6,45.6,2026-05-05
123,2026-05-01,5,36.46,39.01,39.01,2026-05-05
124,2026-05-01,5,23.36,25.0,25.0,2026-05-05
125,2026-05-01,5,52.82,56.52,56.52,2026-05-06
126,2026-05-01,5,106.88,114.36,114.36,2026-05-06
127,2026-05-01,5,79.36,84.92,84.92,2026-05-06
128,2026-05-01,5,128.89,137.91,137.91,2026-05-07
129,2026-05-01,5,68.36,73.15,73.15,2026-05-05
130,2026-05-01,5,83.39,89.23,89.23,2026-06-04
131,2026-05-01,5,36.64,39.2,39.2,2026-05-05
132,2026-05-01,5,73.76,78.92,78.92,2026-05-06
133,2026-05-01,5,36.06,38.58,38.58,2026-05-07
134,2026-05-01,5,38.14,40.81,40.81,2026-05-20
135,2026-05-01,5,21.23,22.72,22.72,2026-05-12
136,2026-05-01,5,81.93,87.67,87.67,2026-05-05
137,2026-05-01,5,105.26,112.63,112.63,2026-06-03
138,2026-05-01,5,40.54,43.38,43.38,2026-05-05
139,2026-05-01,5,35.26,37.73,37.73,2026-05-23
140,2026-05-01,5,40.98,43.85,43.85,2026-05-07
141,2026-05-01,5,38.49,41.18,41.18,2026-05-09
142,2026-05-01,5,113.16,121.08,121.08,2026-05-14
143,2026-05-01,5,125.7,134.5,134.5,2026-05-10
144,2026-05-01,5,29.01,31.04,31.04,2026-05-05
145,2026-05-01,5,29.43,31.49,31.49,2026-05-05
146,2026-05-01,5,71.27,76.26,76.26,2026-05-10
147,2026-05-01,5,23.98,25.66,25.66,2026-05-07
148,2026-05-01,5,139.4,149.16,149.16,2026-05-06
149,2026-05-01,5,55.88,59.79,59.79,2026-05-05
150,2026-05-01,5,23.82,25.49,25.49,2026-05-05
151,2026-05-01,5,31.33,33.52,33.52,2026-06-04
152,2026-05-01,5,60.66,64.91,64.91,2026-05-21
153,2026-05-01,5,27.08,28.98,28.98,2026-05-05
154,2026-05-01,5,73.98,79.16,79.16,2026-05-11
155,2026-05-01,5,79.73,85.31,85.31,2026-05-08
156,2026-05-01,5,34.48,36.89,36.89,2026-05-06
157,2026-05-01,5,43.78,46.84,46.84,2026-05-05
158,2026-05-01,5,41.96,44.9,44.9,2026-05-05
159,2026-05-01,5,53.67,57.43,57.43,2026-05-07
160,2026-05-01,5,43.51,46.56,46.56,2026-05-07
161,2026-05-01,5,131.1,140.28,140.28,2026-05-05
162,2026-05-01,5,39.38,42.14,42.14,2026-05-06
163,2026-05-01,5,64.97,69.52,69.52,2026-05-05
164,2026-05-01,5,69.16,74.0,74.0,2026-05-07
165,2026-05-01,5,43.04,46.05,46.05,2026-05-05
166,2026-05-01,5,41.84,44.77,44.77,2026-05-05
167,2026-05-01,5,21.09,22.57,22.57,2026-05-05
168,2026-05-01,5,80.79,86.45,86.45,2026-05-05
169,2026-05-01,5,38.73,41.44,41.44,2026-05-24
170,2026-05-01,5,95.72,102.42,102.42,2026-05-06
171,2026-05-01,5,57.65,61.69,61.69,2026-05-07
172,2026-05-01,5,28.99,31.02,31.02,2026-05-10
173,2026-05-01,5,78.12,83.59,83.59,2026-05-05
174,2026-05-01,5,29.52,31.59,31.59,2026-05-05
175,2026-05-01,5,27.85,29.8,29.8,2026-05-09
176,2026-05-01,5,20.47,21.9,21.9,2026-05-19
177,2026-05-01,5,44.7,47.83,47.83,2026-05-06
178,2026-05-01,5,62.63,67.01,67.01,2026-05-05
179,2026-05-01,5,76.28,81.62,81.62,2026-05-06
180,2026-05-01,5,26.77,28.64,28.64,2026-05-05
181,2026-05-01,5,25.98,27.8,27.8,2026-05-06
182,2026-05-01,5,76.14,81.47,81.47,2026-05-05
183,2026-05-01,5,39.17,41.91,41.91,2026-05-08
184,2026-05-01,5,77.61,83.04,83.04,2026-05-07
185,2026-05-01,5,23.54,25.19,25.19,2026-05-06
186,2026-05-01,5,39.6,42.37,42.37,2026-05-05
187,2026-05-01,5,68.43,73.22,73.22,2026-05-07
188,2026-05-01,5,21.45,22.95,22.95,2026-05-27
189,2026-05-01,5,30.19,32.3,32.3,2026-05-06
190,2026-05-01,5,78.42,83.91,83.91,2026-05-05
191,2026-05-01,5,39.79,42.58,42.58,2026-05-06
192,2026-05-01,5,21.72,23.24,23.24,2026-05-05
193,2026-05-01,5,73.53,78.68,78.68,2026-05-09
194,2026-05-01,5,68.59,73.39,73.39,2026-05-07
195,2026-05-01,5,50.51,54.05,54.05,2026-05-05
196,2026-05-01,5,43.21,46.23,46.23,2026-05-05
197,2026-05-01,5,24.9,26.64,26.64,2026-05-06
198,2026-05-01,5,21.34,22.83,22.83,2026-05-05
199,2026-05-01,5,79.64,85.21,85.21,2026-05-05
200,2026-05-01,5,119.34,127.69,127.69,2026-05-05
201,2026-05-01,5,23.22,24.85,24.85,2026-05-05
202,2026-05-01,5,20.98,22.45,22.45,2026-05-05
203,2026-05-01,5,79.23,84.78,84.78,2026-05-05
204,2026-05-01,5,70.71,75.66,75.66,2026-05-18
205,2026-05-01,5,74.61,79.83,79.83,2026-05-16
206,2026-05-01,5,21.22,22.71,22.71,2026-05-06
207,2026-05-01,5,82.43,88.2,88.2,2026-05-05
208,2026-05-01,5,71.77,76.79,76.79,2026-05-07
209,2026-05-01,5,58.83,62.95,62.95,2026-05-23
210,2026-05-01,5,58.98,63.11,63.11,2026-05-06
211,2026-05-01,5,84.22,90.12,90.12,2026-05-07
212,2026-05-01,5,92.03,98.47,98.47,2026-05-05
213,2026-05-01,5,62.65,67.04,67.04,2026-05-05
214,2026-05-01,5,123.33,131.96,131.96,2026-05-05
215,2026-05-01,5,77.06,82.45,82.45,2026-05-08
216,2026-05-01,5,72.53,77.61,77.61,2026-05-07
217,2026-05-01,5,39.43,42.19,42.19,2026-05-07
218,2026-05-01,5,41.91,44.84,44.84,2026-05-11
219,2026-05-01,5,79.74,85.32,85.32,2026-05-07
220,2026-05-01,5,32.23,34.49,34.49,2026-05-10
221,2026-05-01,5,51.97,55.61,55.61,2026-05-08
222,2026-05-01,5,61.28,65.57,65.57,2026-05-06
223,2026-05-01,5,143.4,153.44,153.44,2026-06-04
224,2026-05-01,5,108.86,116.48,116.48,2026-05-08
225,2026-05-01,5,31.8,34.03,34.03,2026-05-05
226,2026-05-01,5,20.14,21.55,21.55,2026-05-05
227,2026-05-01,5,27.8,29.75,29.75,2026-05-05
228,2026-05-01,5,30.28,32.4,32.4,2026-05-07
229,2026-05-01,5,131.32,140.51,140.51,2026-05-21
230,2026-05-01,5,63.43,67.87,67.87,2026-05-07
231,2026-05-01,5,31.94,34.18,34.18,2026-05-09
232,2026-05-01,5,39.12,41.86,41.86,2026-06-02
233,2026-05-01,5,35.93,38.45,38.45,2026-05-05
234,2026-05-01,5,66.49,71.14,71.14,2026-05-07
235,2026-05-01,5,43.73,46.79,46.79,2026-05-28
236,2026-05-01,5,29.21,31.25,31.25,2026-05-05
237,2026-05-01,5,29.05,31.08,31.08,2026-05-07
238,2026-05-01,5,54.07,57.85,57.85,2026-05-09
239,2026-05-01,5,29.35,31.4,31.4,2026-06-03
240,2026-05-01,5,55.66,59.56,59.56,2026-05-05
241,2026-05-01,5,31.43,33.63,33.63,2026-05-05
242,2026-05-01,5,29.49,31.55,31.55,2026-05-05
243,2026-05-01,5,35.37,37.85,37.85,2026-05-05
244,2026-05-01,5,80.31,85.93,85.93,2026-05-05
245,2026-05-01,5,115.35,123.42,123.42,2026-05-05
246,2026-05-01,5,141.38,151.28,151.28,2026-05-08
247,2026-05-01,5,27.98,29.94,29.94,2026-05-06
248,2026-05-01,5,93.08,99.6,99.6,2026-05-05
249,2026-05-01,5,111.14,118.92,118.92,2026-05-05
250,2026-05-01,5,61.69,66.01,66.01,2026-05-05
251,2026-05-01,5,125.86,134.67,134.67,2026-05-06
252,2026-05-01,5,34.93,37.38,37.38,2026-05-11
253,2026-05-01,5,96.36,103.11,103.11,2026-05-05
254,2026-05-01,5,37.75,40.39,40.39,2026-05-07
255,2026-05-01,5,103.45,110.69,110.69,2026-05-05
256,2026-05-01,5,35.12,37.58,37.58,2026-06-05
257,2026-05-01,5,41.35,44.24,44.24,2026-05-07
258,2026-05-01,5,148.72,159.13,159.13,2026-05-06
259,2026-05-01,5,40.23,43.05,43.05,2026-05-07
260,2026-05-01,5,82.39,88.16,88.16,2026-05-06
261,2026-05-01,5,95.81,102.52,102.52,2026-05-05
262,2026-05-01,5,106.45,113.9,113.9,2026-05-05
263,2026-05-01,5,65.52,70.11,70.11,2026-05-12
264,2026-05-01,5,76.95,82.34,82.34,2026-05-05
265,2026-05-01,5,125.47,134.25,134.25,2026-05-06
266,2026-05-01,5,139.65,149.43,149.43,2026-05-07
267,2026-05-01,5,28.82,30.84,30.84,2026-05-05
268,2026-05-01,5,66.65,71.32,71.32,2026-05-07
269,2026-05-01,5,136.88,146.46,146.46,2026-05-05
270,2026-05-01,5,39.28,42.03,42.03,2026-05-05
271,2026-05-01,5,71.47,76.47,76.47,2026-05-07
272,2026-05-01,5,68.72,73.53,73.53,2026-05-08
273,2026-05-01,5,26.97,28.86,28.86,2026-05-05
274,2026-05-01,5,77.47,82.89,82.89,2026-05-05
275,2026-05-01,5,102.16,109.31,109.31,2026-05-05
276,2026-05-01,5,38.62,41.32,41.32,2026-05-05
277,2026-05-01,5,51.12,54.7,54.7,2026-05-16
278,2026-05-01,5,59.0,63.13,63.13,2026-05-05
279,2026-05-01,5,44.52,47.64,47.64,2026-05-05
280,2026-05-01,5,116.35,124.49,124.49,2026-05-25
281,2026-05-01,5,29.65,31.73,31.73,2026-05-05
282,2026-05-01,5,27.81,29.76,29.76,2026-05-16
283,2026-05-01,5,91.16,97.54,97.54,2026-05-05
284,2026-05-01,5,44.74,47.87,47.87,2026-05-06
285,2026-05-01,5,55.96,59.88,59.88,2026-05-05
286,2026-05-01,5,59.95,64.15,64.15,2026-05-07
287,2026-05-01,5,145.34,155.51,155.51,2026-05-06
288,2026-05-01,5,71.83,76.86,76.86,2026-05-05
289,2026-05-01,5,57.29,61.3,61.3,2026-05-07
290,2026-05-01,5,125.32,134.09,134.09,2026-05-07
291,2026-05-01,5,149.14,159.58,159.58,2026-05-07
292,2026-05-01,5,117.5,125.72,125.72,2026-05-07
293,2026-05-01,5,57.86,61.91,61.91,2026-05-06
294,2026-05-01,5,30.59,32.73,32.73,2026-05-05
295,2026-05-01,5,36.56,39.12,39.12,2026-05-06
296,2026-05-01,5,62.52,66.9,66.9,2026-05-08
297,2026-05-01,5,137.49,147.11,147.11,2026-05-05
298,2026-05-01,5,29.57,31.64,31.64,2026-05-05
299,2026-05-01,5,100.34,107.36,107.36,2026-05-10
300,2026-05-01,5,56.63,60.59,60.59,2026-05-05
301,2026-05-01,5,52.99,56.7,56.7,2026-05-05
302,2026-05-01,5,37.94,40.6,40.6,2026-05-06
303,2026-05-01,5,34.94,37.39,37.39,2026-05-05
304,2026-05-01,5,64.21,68.7,68.7,2026-05-07
305,2026-05-01,5,26.24,28.08,28.08,2026-05-07
306,2026-05-01,5,105.87,113.28,113.28,2026-05-05
307,2026-05-01,5,22.8,24.4,24.4,2026-05-05
308,2026-05-01,5,38.13,40.8,40.8,2026-05-05
309,2026-05-01,5,28.08,30.05,30.05,2026-05-05
310,2026-05-01,5,64.79,69.33,69.33,2026-05-05
311,2026-05-01,5,81.34,87.03,87.03,2026-05-07
312,2026-05-01,5,25.55,27.34,27.34,2026-05-05
313,2026-05-01,5,28.83,30.85,30.85,2026-05-05
314,2026-05-01,5,109.37,117.03,117.03,2026-05-07
315,2026-05-01,5,20.06,21.46,21.46,2026-05-06
316,2026-05-01,5,75.92,81.23,81.23,2026-05-05
317,2026-05-01,5,41.7,44.62,44.62,2026-05-09
318,2026-05-01,5,34.02,36.4,36.4,2026-05-05
319,2026-05-01,5,84.19,90.08,90.08,2026-05-05
320,2026-05-01,5,56.05,59.97,59.97,2026-05-08
321,2026-05-01,5,83.4,89.24,89.24,2026-05-05
322,2026-05-01,5,148.69,159.1,159.1,2026-05-07
323,2026-05-01,5,72.52,77.6,77.6,2026-05-08
324,2026-05-01,5,34.24,36.64,36.64,2026-05-07
325,2026-05-01,5,78.02,83.48,83.48,2026-05-07
326,2026-05-01,5,25.51,27.3,27.3,2026-05-07
327,2026-05-01,5,39.84,42.63,42.63,2026-05-06
328,2026-05-01,5,41.25,44.14,44.14,2026-05-05
329,2026-05-01,5,33.52,35.87,35.87,2026-06-02
330,2026-05-01,5,98.83,105.75,105.75,2026-05-05
331,2026-05-01,5,131.19,140.37,140.37,2026-05-05
332,2026-05-01,5,70.13,75.04,75.04,2026-05-07
333,2026-05-01,5,21.31,22.8,22.8,2026-05-05
334,2026-05-01,5,29.93,32.03,32.03,2026-05-07
335,2026-05-01,5,118.03,126.29,126.29,2026-05-05
336,2026-05-01,5,124.46,133.17,133.17,2026-05-05
337,2026-05-01,5,76.63,81.99,81.99,2026-05-06
338,2026-05-01,5,113.63,121.58,121.58,2026-05-05
339,2026-05-01,5,90.29,96.61,96.61,2026-05-07
340,2026-05-01,5,30.34,32.46,32.46,2026-05-20
341,2026-05-01,5,29.19,31.23,31.23,2026-05-06
342,2026-05-01,5,71.24,76.23,76.23,2026-05-05
343,2026-05-01,5,141.23,151.12,151.12,2026-05-23
344,2026-05-01,5,91.88,98.31,98.31,2026-05-06
345,2026-05-01,5,40.96,43.83,43.83,2026-05-06
346,2026-05-01,5,79.96,85.56,85.56,2026-05-05
347,2026-05-01,5,71.7,76.72,76.72,2026-05-05
348,2026-05-01,5,33.92,36.29,36.29,2026-05-05
349,2026-05-01,5,31.95,34.19,34.19,2026-05-08
350,2026-05-01,5,29.72,31.8,31.8,2026-05-07
351,2026-05-01,5,54.63,58.45,58.45,2026-05-05
352,2026-05-01,5,36.8,39.38,39.38,2026-05-05
353,2026-05-01,5,128.56,137.56,137.56,2026-05-05
354,2026-05-01,5,94.67,101.3,101.3,2026-05-07
355,2026-05-01,5,37.95,40.61,40.61,2026-05-11
356,2026-05-01,5,78.04,83.5,83.5,2026-06-04
357,2026-05-01,5,105.14,112.5,112.5,2026-05-06
358,2026-05-01,5,59.95,64.15,64.15,2026-05-05
359,2026-05-01,5,62.52,66.9,66.9,2026-05-06
360,2026-05-01,5,32.3,34.56,34.56,2026-05-05
361,2026-05-01,5,125.9,134.71,134.71,2026-05-05
362,2026-05-01,5,115.53,123.62,123.62,2026-05-05
363,2026-05-01,5,55.73,59.63,59.63,2026-05-07
364,2026-05-01,5,23.78,25.44,25.44,2026-05-05
365,2026-05-01,5,70.74,75.69,75.69,2026-05-05
366,2026-05-01,5,98.64,105.54,105.54,2026-05-08
367,2026-05-01,5,62.45,66.82,66.82,2026-05-07
368,2026-05-01,5,63.9,68.37,68.37,2026-05-05
369,2026-05-01,5,28.04,30.0,30.0,2026-05-05
370,2026-05-01,5,93.71,100.27,100.27,2026-05-06
371,2026-05-01,5,43.15,46.17,46.17,2026-05-06
372,2026-05-01,5,77.92,83.37,83.37,2026-05-05
373,2026-05-01,5,37.94,40.6,40.6,2026-05-05
374,2026-05-01,5,81.32,87.01,87.01,2026-05-07
375,2026-05-01,5,69.62,74.49,74.49,2026-05-06
376,2026-05-01,5,28.05,30.01,30.01,2026-05-06
377,2026-05-01,5,32.98,35.29,35.29,2026-05-17
378,2026-05-01,5,97.25,104.06,104.06,2026-06-05
379,2026-05-01,5,21.28,22.77,22.77,2026-05-05
380,2026-05-01,5,32.75,35.04,35.04,2026-05-07
381,2026-05-01,5,20.0,21.4,21.4,2026-05-11
382,2026-05-01,5,127.46,136.38,136.38,2026-05-05
383,2026-05-01,5,58.15,62.22,62.22,2026-05-07
384,2026-05-01,5,33.69,36.05,36.05,2026-05-07
385,2026-05-01,5,31.33,33.52,33.52,2026-05-05
386,2026-05-01,5,79.65,85.23,85.23,2026-05-07
387,2026-05-01,5,63.86,68.33,68.33,2026-05-06
388,2026-05-01,5,76.6,81.96,81.96,2026-05-07
389,2026-05-01,5,39.93,42.73,42.73,2026-05-07
390,2026-05-01,5,23.55,25.2,25.2,2026-05-08
391,2026-05-01,5,44.22,47.32,47.32,2026-05-21
392,2026-05-01,5,78.27,83.75,83.75,2026-05-05
393,2026-05-01,5,40.87,43.73,43.73,2026-05-05
394,2026-05-01,5,29.18,31.22,31.22,2026-05-05
395,2026-05-01,5,79.84,85.43,85.43,2026-05-16
396,2026-05-01,5,23.52,25.17,25.17,2026-05-26
397,2026-05-01,5,63.26,67.69,67.69,2026-05-14
398,2026-05-01,5,64.63,69.15,69.15,2026-05-07
399,2026-05-01,5,119.16,127.5,127.5,2026-05-08
400,2026-05-01,5,34.94,37.39,37.39,2026-05-05
401,2026-05-01,5,79.27,84.82,84.82,2026-05-05
402,2026-05-01,5,78.95,84.48,84.48,2026-05-05
403,2026-05-01,5,23.8,25.47,25.47,2026-05-05
404,2026-05-01,5,101.5,108.6,108.6,2026-05-05
405,2026-05-01,5,133.23,142.56,142.56,2026-05-05
406,2026-05-01,5,31.3,33.49,33.49,2026-05-05
407,2026-05-01,5,54.71,58.54,58.54,2026-05-05
408,2026-05-01,5,108.67,116.28,116.28,2026-05-06
409,2026-05-01,5,44.61,47.73,47.73,2026-05-08
410,2026-05-01,5,25.66,27.46,27.46,2026-05-05
411,2026-05-01,5,39.26,42.01,42.01,2026-05-05
412,2026-05-01,5,51.75,55.37,55.37,2026-05-06
413,2026-05-01,5,65.07,69.62,69.62,2026-05-16
414,2026-05-01,5,21.89,23.42,23.42,2026-05-05
415,2026-05-01,5,76.56,81.92,81.92,2026-05-05
416,2026-05-01,5,32.47,34.74,34.74,2026-05-06
417,2026-05-01,5,40.16,42.97,42.97,2026-05-08
418,2026-05-01,5,124.9,133.64,133.64,2026-05-05
419,2026-05-01,5,67.44,72.16,72.16,2026-05-07
420,2026-05-01,5,43.84,46.91,46.91,2026-05-06
421,2026-05-01,5,129.28,138.33,138.33,2026-05-05
422,2026-05-01,5,35.85,38.36,38.36,2026-05-05
423,2026-05-01,5,51.86,55.49,55.49,2026-05-07
424,2026-05-01,5,73.29,78.42,78.42,2026-05-07
425,2026-05-01,5,84.93,90.88,90.88,2026-05-05
426,2026-05-01,5,22.47,24.04,24.04,2026-05-05
427,2026-05-01,5,41.01,43.88,43.88,2026-05-05
428,2026-05-01,5,25.76,27.56,27.56,2026-05-05
429,2026-05-01,5,20.42,21.85,21.85,2026-05-06
430,2026-05-01,5,27.91,29.86,29.86,2026-05-07
431,2026-05-01,5,51.66,55.28,55.28,2026-05-05
432,2026-05-01,5,54.46,58.27,58.27,2026-05-05
433,2026-05-01,5,83.33,89.16,89.16,2026-05-05
434,2026-05-01,5,147.77,158.11,158.11,2026-05-06
435,2026-05-01,5,59.44,63.6,63.6,2026-05-12
436,2026-05-01,5,25.17,26.93,26.93,2026-05-06
437,2026-05-01,5,123.91,132.58,132.58,2026-05-05
438,2026-05-01,5,31.75,33.97,33.97,2026-05-05
439,2026-05-01,5,31.42,33.62,33.62,2026-05-05
440,2026-05-01,5,38.71,41.42,41.42,2026-05-05
441,2026-05-01,5,110.86,118.62,118.62,2026-05-05
442,2026-05-01,5,37.26,39.87,39.87,2026-05-07
443,2026-05-01,5,117.67,125.91,125.91,2026-05-05
444,2026-05-01,5,139.26,149.01,149.01,2026-05-05
445,2026-05-01,5,94.05,100.63,100.63,2026-05-07
446,2026-05-01,5,145.38,155.56,155.56,2026-05-05
447,2026-05-01,5,22.33,23.89,23.89,2026-05-06
448,2026-05-01,5,58.61,62.71,62.71,2026-05-07
449,2026-05-01,5,25.45,27.23,27.23,2026-05-06
450,2026-05-01,5,103.37,110.61,110.61,2026-05-08
451,2026-05-01,5,41.51,44.42,44.42,2026-05-05
452,2026-05-01,5,29.77,31.85,31.85,2026-05-07
453,2026-05-01,5,28.68,30.69,30.69,2026-05-06
454,2026-05-01,5,50.56,54.1,54.1,2026-05-06
455,2026-05-01,5,40.89,43.75,43.75,2026-05-08
456,2026-05-01,5,41.72,44.64,44.64,2026-05-05
457,2026-05-01,5,35.57,38.06,38.06,2026-05-05
458,2026-05-01,5,54.86,58.7,58.7,2026-05-05
459,2026-05-01,5,55.12,58.98,58.98,2026-06-02
460,2026-05-01,5,130.8,139.96,139.96,2026-05-07
461,2026-05-01,5,77.62,83.05,83.05,2026-05-07
462,2026-05-01,5,60.18,64.39,64.39,2026-05-05
463,2026-05-01,5,73.35,78.48,78.48,2026-05-22
464,2026-05-01,5,90.8,97.16,97.16,2026-05-22
