customerid,billmonth,totalamount,spendrank
19859,2026-07-01,160.35,151
27619,2026-06-01,160.35,151
27619,2026-05-01,160.35,151
27619,2026-07-01,160.35,151
49804,2026-05-01,160.35,151
49804,2026-07-01,160.35,151
49804,2026-06-01,160.35,151
84442,2026-06-01,160.35,151
84442,2026-05-01,160.35,151
84442,2026-07-01,160.35,151
54434,2026-07-01,160.34,166
54434,2026-06-01,160.34,166
54434,2026-05-01,160.34,166
59009,2026-07-01,160.34,166
59009,2026-06-01,160.34,166
59009,2026-05-01,160.34,166
15781,2026-07-01,160.33,172
15781,2026-06-01,160.33,172
15781,2026-05-01,160.33,172
25826,2026-06-01,160.33,172
25826,2026-05-01,160.33,172
25826,2026-07-01,160.33,172
37530,2026-06-01,160.33,172
37530,2026-05-01,160.33,172
37530,2026-07-01,160.33,172
42853,2026-06-01,160.33,172
42853,2026-07-01,160.33,172
42853,2026-05-01,160.33,172
47936,2026-07-01,160.33,172
47936,2026-05-01,160.33,172
47936,2026-06-01,160.33,172
5089,2026-05-01,160.32,187
5089,2026-06-01,160.32,187
5089,2026-07-01,160.32,187
18022,2026-07-01,160.32,187
18022,2026-06-01,160.32,187
18022,2026-05-01,160.32,187
55189,2026-05-01,160.32,187
55189,2026-06-01,160.32,187
55189,2026-07-01,160.32,187
88945,2026-07-01,160.32,187
88945,2026-06-01,160.32,187
88945,2026-05-01,160.32,187
96659,2026-06-01,160.32,187
96659,2026-07-01,160.32,187
96659,2026-05-01,160.32,187
3887,2026-06-01,160.31,202
3887,2026-07-01,160.31,202
3887,2026-05-01,160.31,202
18199,2026-06-01,160.31,202
18199,2026-05-01,160.31,202
18199,2026-07-01,160.31,202
46255,2026-06-01,160.31,202
46255,2026-07-01,160.31,202
46255,2026-05-01,160.31,202
47622,2026-06-01,160.31,202
47622,2026-07-01,160.31,202
47622,2026-05-01,160.31,202
97110,2026-06-01,160.31,202
97110,2026-05-01,160.31,202
97110,2026-07-01,160.31,202
17211,2026-05-01,160.30,217
17211,2026-06-01,160.30,217
17211,2026-07-01,160.30,217
76446,2026-05-01,160.30,217
76446,2026-06-01,160.30,217
76446,2026-07-01,160.30,217
88498,2026-07-01,160.30,217
88498,2026-05-01,160.30,217
88498,2026-06-01,160.30,217
23756,2026-06-01,160.29,226
23756,2026-05-01,160.29,226
23756,2026-07-01,160.29,226
26960,2026-06-01,160.29,226
26960,2026-07-01,160.29,226
26960,2026-05-01,160.29,226
31911,2026-06-01,160.29,226
31911,2026-07-01,160.29,226
31911,2026-05-01,160.29,226
66859,2026-05-01,160.29,226
66859,2026-06-01,160.29,226
66859,2026-07-01,160.29,226
70395,2026-06-01,160.29,226
70395,2026-05-01,160.29,226
70395,2026-07-01,160.29,226
69160,2026-07-01,160.28,241
69160,2026-05-01,160.28,241
69160,2026-06-01,160.28,241
72135,2026-07-01,160.28,241
72135,2026-05-01,160.28,241
72135,2026-06-01,160.28,241
16776,2026-06-01,160.26,247
16776,2026-07-01,160.26,247
16776,2026-05-01,160.26,247
88759,2026-06-01,160.26,247
88759,2026-07-01,160.26,247
88759,2026-05-01,160.26,247
8705,2026-07-01,160.25,253
8705,2026-06-01,160.25,253
8705,2026-05-01,160.25,253
49507,2026-05-01,160.25,253
49507,2026-07-01,160.25,253
49507,2026-06-01,160.25,253
57556,2026-05-01,160.25,253
57556,2026-07-01,160.25,253
57556,2026-06-01,160.25,253
84711,2026-05-01,160.25,253
84711,2026-07-01,160.25,253
84711,2026-06-01,160.25,253
10582,2026-05-01,160.24,265
10582,2026-07-01,160.24,265
10582,2026-06-01,160.24,265
92273,2026-06-01,160.24,265
92273,2026-07-01,160.24,265
92273,2026-05-01,160.24,265
93213,2026-07-01,160.24,265
93213,2026-05-01,160.24,265
93213,2026-06-01,160.24,265
96244,2026-06-01,160.24,265
96244,2026-07-01,160.24,265
96244,2026-05-01,160.24,265
24692,2026-05-01,160.23,277
24692,2026-07-01,160.23,277
24692,2026-06-01,160.23,277
76563,2026-05-01,160.23,277
76563,2026-07-01,160.23,277
76563,2026-06-01,160.23,277
80989,2026-06-01,160.23,277
80989,2026-05-01,160.23,277
80989,2026-07-01,160.23,277
29077,2026-06-01,160.22,286
29077,2026-05-01,160.22,286
29077,2026-07-01,160.22,286
39540,2026-06-01,160.22,286
39540,2026-05-01,160.22,286
39540,2026-07-01,160.22,286
40597,2026-06-01,160.22,286
40597,2026-07-01,160.22,286
40597,2026-05-01,160.22,286
44570,2026-06-01,160.22,286
44570,2026-05-01,160.22,286
44570,2026-07-01,160.22,286
62074,2026-05-01,160.22,286
62074,2026-07-01,160.22,286
62074,2026-06-01,160.22,286
89871,2026-06-01,160.22,286
89871,2026-07-01,160.22,286
89871,2026-05-01,160.22,286
97292,2026-05-01,160.22,286
97292,2026-07-01,160.22,286
97292,2026-06-01,160.22,286
18162,2026-07-01,160.21,307
18162,2026-05-01,160.21,307
18162,2026-06-01,160.21,307
31682,2026-05-01,160.21,307
31682,2026-06-01,160.21,307
31682,2026-07-01,160.21,307
40728,2026-06-01,160.21,307
40728,2026-07-01,160.21,307
40728,2026-05-01,160.21,307
62558,2026-07-01,160.20,316
62558,2026-06-01,160.20,316
62558,2026-05-01,160.20,316
73563,2026-06-01,160.20,316
73563,2026-07-01,160.20,316
73563,2026-05-01,160.20,316
33155,2026-05-01,160.19,322
33155,2026-07-01,160.19,322
33155,2026-06-01,160.19,322
41858,2026-06-01,160.19,322
41858,2026-07-01,160.19,322
41858,2026-05-01,160.19,322
48253,2026-06-01,160.19,322
48253,2026-05-01,160.19,322
48253,2026-07-01,160.19,322
68702,2026-05-01,160.19,322
68702,2026-06-01,160.19,322
68702,2026-07-01,160.19,322
74555,2026-05-01,160.19,322
74555,2026-07-01,160.19,322
74555,2026-06-01,160.19,322
79835,2026-06-01,160.19,322
79835,2026-07-01,160.19,322
79835,2026-05-01,160.19,322
2252,2026-06-01,160.18,340
2252,2026-07-01,160.18,340
2252,2026-05-01,160.18,340
45612,2026-07-01,160.18,340
45612,2026-05-01,160.18,340
45612,2026-06-01,160.18,340
49436,2026-07-01,160.18,340
49436,2026-05-01,160.18,340
49436,2026-06-01,160.18,340
98985,2026-06-01,160.18,340
98985,2026-07-01,160.18,340
98985,2026-05-01,160.18,340
76594,2026-07-01,160.17,352
76594,2026-05-01,160.17,352
76594,2026-06-01,160.17,352
53907,2026-06-01,160.16,355
53907,2026-05-01,160.16,355
53907,2026-07-01,160.16,355
4176,2026-07-01,160.15,358
4176,2026-06-01,160.15,358
4176,2026-05-01,160.15,358
34323,2026-06-01,160.15,358
34323,2026-07-01,160.15,358
34323,2026-05-01,160.15,358
42282,2026-05-01,160.15,358
42282,2026-07-01,160.15,358
42282,2026-06-01,160.15,358
46793,2026-06-01,160.15,358
46793,2026-07-01,160.15,358
46793,2026-05-01,160.15,358
909,2026-07-01,160.14,370
909,2026-05-01,160.14,370
909,2026-06-01,160.14,370
19957,2026-06-01,160.14,370
19957,2026-05-01,160.14,370
19957,2026-07-01,160.14,370
55188,2026-06-01,160.14,370
55188,2026-07-01,160.14,370
55188,2026-05-01,160.14,370
64261,2026-07-01,160.14,370
64261,2026-05-01,160.14,370
64261,2026-06-01,160.14,370
13331,2026-05-01,160.13,382
13331,2026-06-01,160.13,382
13331,2026-07-01,160.13,382
29436,2026-06-01,160.13,382
29436,2026-05-01,160.13,382
29436,2026-07-01,160.13,382
59083,2026-06-01,160.11,388
59083,2026-07-01,160.11,388
59083,2026-05-01,160.11,388
59260,2026-07-01,160.11,388
59260,2026-06-01,160.11,388
59260,2026-05-01,160.11,388
67076,2026-06-01,160.11,388
67076,2026-07-01,160.11,388
67076,2026-05-01,160.11,388
5238,2026-07-01,160.09,397
5238,2026-05-01,160.09,397
5238,2026-06-01,160.09,397
19042,2026-06-01,160.09,397
19042,2026-05-01,160.09,397
19042,2026-07-01,160.09,397
35091,2026-05-01,160.09,397
35091,2026-07-01,160.09,397
35091,2026-06-01,160.09,397
37419,2026-05-01,160.09,397
37419,2026-06-01,160.09,397
37419,2026-07-01,160.09,397
59231,2026-07-01,160.09,397
59231,2026-05-01,160.09,397
59231,2026-06-01,160.09,397
20261,2026-05-01,160.08,412
20261,2026-07-01,160.08,412
20261,2026-06-01,160.08,412
23828,2026-05-01,160.07,415
23828,2026-06-01,160.07,415
23828,2026-07-01,160.07,415
36896,2026-07-01,160.07,415
36896,2026-05-01,160.07,415
36896,2026-06-01,160.07,415
57593,2026-06-01,160.07,415
57593,2026-07-01,160.07,415
57593,2026-05-01,160.07,415
14138,2026-07-01,160.06,424
14138,2026-05-01,160.06,424
14138,2026-06-01,160.06,424
91649,2026-05-01,160.06,424
91649,2026-06-01,160.06,424
91649,2026-07-01,160.06,424
93016,2026-06-01,160.06,424
93016,2026-05-01,160.06,424
93016,2026-07-01,160.06,424
23041,2026-05-01,160.05,433
23041,2026-06-01,160.05,433
23041,2026-07-01,160.05,433
68782,2026-07-01,160.05,433
68782,2026-06-01,160.05,433
68782,2026-05-01,160.05,433
75249,2026-06-01,160.05,433
75249,2026-05-01,160.05,433
75249,2026-07-01,160.05,433
78023,2026-07-01,160.05,433
78023,2026-05-01,160.05,433
78023,2026-06-01,160.05,433
83992,2026-05-01,160.05,433
83992,2026-07-01,160.05,433
83992,2026-06-01,160.05,433
81137,2026-05-01,160.04,448
81137,2026-07-01,160.04,448
81137,2026-06-01,160.04,448
96401,2026-07-01,160.04,448
96401,2026-06-01,160.04,448
96401,2026-05-01,160.04,448
5878,2026-07-01,160.03,454
5878,2026-05-01,160.03,454
5878,2026-06-01,160.03,454
22181,2026-05-01,160.03,454
22181,2026-07-01,160.03,454
22181,2026-06-01,160.03,454
45938,2026-07-01,160.03,454
45938,2026-06-01,160.03,454
45938,2026-05-01,160.03,454
42138,2026-05-01,160.02,463
42138,2026-06-01,160.02,463
42138,2026-07-01,160.02,463
23120,2026-07-01,160.01,466
23120,2026-05-01,160.01,466
23120,2026-06-01,160.01,466
30693,2026-07-01,160.01,466
30693,2026-05-01,160.01,466
30693,2026-06-01,160.01,466
54512,2026-06-01,160.01,466
54512,2026-07-01,160.01,466
54512,2026-05-01,160.01,466
56037,2026-07-01,160.01,466
56037,2026-05-01,160.01,466
56037,2026-06-01,160.01,466
32155,2026-07-01,160.00,478
32155,2026-05-01,160.00,478
32155,2026-06-01,160.00,478
39825,2026-07-01,160.00,478
39825,2026-05-01,160.00,478
39825,2026-06-01,160.00,478
98790,2026-06-01,160.00,478
98790,2026-05-01,160.00,478
98790,2026-07-01,160.00,478
3526,2026-05-01,159.99,487
3526,2026-07-01,159.99,487
3526,2026-06-01,159.99,487
39864,2026-06-01,159.99,487
39864,2026-07-01,159.99,487
39864,2026-05-01,159.99,487
66324,2026-07-01,159.99,487
66324,2026-06-01,159.99,487
66324,2026-05-01,159.99,487
75325,2026-06-01,159.99,487
75325,2026-05-01,159.99,487
75325,2026-07-01,159.99,487
83872,2026-05-01,159.99,487
83872,2026-06-01,159.99,487
83872,2026-07-01,159.99,487
85677,2026-07-01,159.99,487
85677,2026-05-01,159.99,487
85677,2026-06-01,159.99,487
20220,2026-06-01,159.98,505
20220,2026-05-01,159.98,505
20220,2026-07-01,159.98,505
29718,2026-07-01,159.98,505
29718,2026-05-01,159.98,505
29718,2026-06-01,159.98,505
37625,2026-07-01,159.98,505
37625,2026-06-01,159.98,505
37625,2026-05-01,159.98,505
40213,2026-05-01,159.96,514
40213,2026-06-01,159.96,514
40213,2026-07-01,159.96,514
55587,2026-06-01,159.96,514
55587,2026-05-01,159.96,514
55587,2026-07-01,159.96,514
10357,2026-06-01,159.95,520
10357,2026-05-01,159.95,520
10357,2026-07-01,159.95,520
37114,2026-07-01,159.95,520
37114,2026-06-01,159.95,520
37114,2026-05-01,159.95,520
38108,2026-06-01,159.95,520
38108,2026-07-01,159.95,520
38108,2026-05-01,159.95,520
73298,2026-06-01,159.95,520
73298,2026-07-01,159.95,520
73298,2026-05-01,159.95,520
76152,2026-06-01,159.95,520
76152,2026-05-01,159.95,520
76152,2026-07-01,159.95,520
96158,2026-05-01,159.95,520
96158,2026-06-01,159.95,520
96158,2026-07-01,159.95,520
1021,2026-07-01,159.94,538
1021,2026-05-01,159.94,538
1021,2026-06-01,159.94,538
13909,2026-07-01,159.94,538
13909,2026-06-01,159.94,538
13909,2026-05-01,159.94,538
26504,2026-06-01,159.94,538
26504,2026-05-01,159.94,538
26504,2026-07-01,159.94,538
64573,2026-05-01,159.94,538
64573,2026-06-01,159.94,538
64573,2026-07-01,159.94,538
95569,2026-07-01,159.94,538
95569,2026-05-01,159.94,538
95569,2026-06-01,159.94,538
30939,2026-05-01,159.93,553
30939,2026-06-01,159.93,553
30939,2026-07-01,159.93,553
12700,2026-05-01,159.92,556
12700,2026-06-01,159.92,556
12700,2026-07-01,159.92,556
50320,2026-05-01,159.92,556
50320,2026-07-01,159.92,556
50320,2026-06-01,159.92,556
2057,2026-06-01,159.91,562
2057,2026-05-01,159.91,562
2057,2026-07-01,159.91,562
12578,2026-06-01,159.91,562
12578,2026-07-01,159.91,562
12578,2026-05-01,159.91,562
39695,2026-05-01,159.91,562
39695,2026-06-01,159.91,562
39695,2026-07-01,159.91,562
87888,2026-05-01,159.91,562
87888,2026-06-01,159.91,562
87888,2026-07-01,159.91,562
31512,2026-05-01,159.90,574
31512,2026-07-01,159.90,574
31512,2026-06-01,159.90,574
38087,2026-06-01,159.90,574
38087,2026-07-01,159.90,574
38087,2026-05-01,159.90,574
68611,2026-06-01,159.90,574
68611,2026-05-01,159.90,574
68611,2026-07-01,159.90,574
98107,2026-05-01,159.90,574
98107,2026-07-01,159.90,574
98107,2026-06-01,159.90,574
3264,2026-05-01,159.89,586
3264,2026-07-01,159.89,586
3264,2026-06-01,159.89,586
19190,2026-06-01,159.89,586
19190,2026-07-01,159.89,586
19190,2026-05-01,159.89,586
22676,2026-05-01,159.89,586
22676,2026-07-01,159.89,586
22676,2026-06-01,159.89,586
43494,2026-06-01,159.89,586
43494,2026-07-01,159.89,586
43494,2026-05-01,159.89,586
66327,2026-05-01,159.89,586
66327,2026-06-01,159.89,586
66327,2026-07-01,159.89,586
68003,2026-05-01,159.89,586
68003,2026-07-01,159.89,586
68003,2026-06-01,159.89,586
73472,2026-05-01,159.89,586
73472,2026-07-01,159.89,586
73472,2026-06-01,159.89,586
20125,2026-06-01,159.88,607
20125,2026-07-01,159.88,607
20125,2026-05-01,159.88,607
6310,2026-06-01,159.87,610
6310,2026-05-01,159.87,610
6310,2026-07-01,159.87,610
7691,2026-06-01,159.87,610
7691,2026-07-01,159.87,610
7691,2026-05-01,159.87,610
31097,2026-06-01,159.87,610
31097,2026-05-01,159.87,610
31097,2026-07-01,159.87,610
39369,2026-07-01,159.87,610
39369,2026-05-01,159.87,610
39369,2026-06-01,159.87,610
50527,2026-05-01,159.87,610
50527,2026-06-01,159.87,610
50527,2026-07-01,159.87,610
51267,2026-05-01,159.87,610
51267,2026-07-01,159.87,610
51267,2026-06-01,159.87,610
12365,2026-06-01,159.86,628
12365,2026-07-01,159.86,628
12365,2026-05-01,159.86,628
11484,2026-06-01,159.85,631
11484,2026-05-01,159.85,631
11484,2026-07-01,159.85,631
54992,2026-05-01,159.85,631
54992,2026-07-01,159.85,631
54992,2026-06-01,159.85,631
95199,2026-06-01,159.85,631
95199,2026-05-01,159.85,631
95199,2026-07-01,159.85,631
23944,2026-05-01,159.84,640
23944,2026-06-01,159.84,640
23944,2026-07-01,159.84,640
26289,2026-06-01,159.84,640
26289,2026-05-01,159.84,640
26289,2026-07-01,159.84,640
47804,2026-06-01,159.84,640
47804,2026-07-01,159.84,640
47804,2026-05-01,159.84,640
80335,2026-06-01,159.84,640
80335,2026-05-01,159.84,640
80335,2026-07-01,159.84,640
22170,2026-05-01,159.83,652
22170,2026-06-01,159.83,652
22170,2026-07-01,159.83,652
31678,2026-07-01,159.83,652
31678,2026-05-01,159.83,652
31678,2026-06-01,159.83,652
41236,2026-05-01,159.83,652
41236,2026-07-01,159.83,652
41236,2026-06-01,159.83,652
29210,2026-06-01,159.82,661
29210,2026-05-01,159.82,661
29210,2026-07-01,159.82,661
68398,2026-07-01,159.82,661
68398,2026-06-01,159.82,661
68398,2026-05-01,159.82,661
3913,2026-05-01,159.80,667
3913,2026-06-01,159.80,667
3913,2026-07-01,159.80,667
53104,2026-05-01,159.80,667
53104,2026-06-01,159.80,667
53104,2026-07-01,159.80,667
14587,2026-06-01,159.79,673
14587,2026-05-01,159.79,673
14587,2026-07-01,159.79,673
24567,2026-07-01,159.78,676
24567,2026-06-01,159.78,676
24567,2026-05-01,159.78,676
31822,2026-06-01,159.78,676
31822,2026-05-01,159.78,676
31822,2026-07-01,159.78,676
66058,2026-05-01,159.78,676
66058,2026-07-01,159.78,676
66058,2026-06-01,159.78,676
17302,2026-06-01,159.77,685
17302,2026-07-01,159.77,685
17302,2026-05-01,159.77,685
34057,2026-06-01,159.77,685
34057,2026-07-01,159.77,685
34057,2026-05-01,159.77,685
55972,2026-07-01,159.77,685
55972,2026-06-01,159.77,685
55972,2026-05-01,159.77,685
58206,2026-05-01,159.77,685
58206,2026-06-01,159.77,685
58206,2026-07-01,159.77,685
78991,2026-07-01,159.77,685
78991,2026-05-01,159.77,685
78991,2026-06-01,159.77,685
89338,2026-06-01,159.77,685
89338,2026-07-01,159.77,685
89338,2026-05-01,159.77,685
24321,2026-07-01,159.76,703
24321,2026-05-01,159.76,703
24321,2026-06-01,159.76,703
25040,2026-05-01,159.76,703
25040,2026-06-01,159.76,703
25040,2026-07-01,159.76,703
69217,2026-05-01,159.76,703
69217,2026-07-01,159.76,703
69217,2026-06-01,159.76,703
72176,2026-07-01,159.76,703
72176,2026-06-01,159.76,703
72176,2026-05-01,159.76,703
86539,2026-06-01,159.76,703
86539,2026-07-01,159.76,703
86539,2026-05-01,159.76,703
90198,2026-06-01,159.76,703
90198,2026-05-01,159.76,703
90198,2026-07-01,159.76,703
12328,2026-07-01,159.75,721
12328,2026-05-01,159.75,721
12328,2026-06-01,159.75,721
35156,2026-05-01,159.75,721
35156,2026-07-01,159.75,721
35156,2026-06-01,159.75,721
53201,2026-06-01,159.75,721
53201,2026-05-01,159.75,721
53201,2026-07-01,159.75,721
78505,2026-07-01,159.75,721
78505,2026-05-01,159.75,721
78505,2026-06-01,159.75,721
87804,2026-06-01,159.75,721
87804,2026-05-01,159.75,721
87804,2026-07-01,159.75,721
6633,2026-07-01,159.74,736
6633,2026-05-01,159.74,736
6633,2026-06-01,159.74,736
18633,2026-06-01,159.74,736
18633,2026-05-01,159.74,736
18633,2026-07-01,159.74,736
57569,2026-07-01,159.74,736
57569,2026-05-01,159.74,736
57569,2026-06-01,159.74,736
72336,2026-07-01,159.74,736
72336,2026-05-01,159.74,736
72336,2026-06-01,159.74,736
77695,2026-06-01,159.74,736
77695,2026-05-01,159.74,736
77695,2026-07-01,159.74,736
14547,2026-05-01,159.73,751
14547,2026-06-01,159.73,751
14547,2026-07-01,159.73,751
18996,2026-05-01,159.73,751
18996,2026-07-01,159.73,751
18996,2026-06-01,159.73,751
38459,2026-06-01,159.73,751
38459,2026-07-01,159.73,751
38459,2026-05-01,159.73,751
27306,2026-06-01,159.72,760
27306,2026-07-01,159.72,760
27306,2026-05-01,159.72,760
68555,2026-06-01,159.72,760
68555,2026-07-01,159.72,760
68555,2026-05-01,159.72,760
76502,2026-07-01,159.72,760
76502,2026-05-01,159.72,760
76502,2026-06-01,159.72,760
79530,2026-07-01,159.72,760
79530,2026-05-01,159.72,760
79530,2026-06-01,159.72,760
82615,2026-07-01,159.72,760
82615,2026-06-01,159.72,760
82615,2026-05-01,159.72,760
22401,2026-05-01,159.71,775
22401,2026-07-01,159.71,775
22401,2026-06-01,159.71,775
40962,2026-06-01,159.71,775
40962,2026-05-01,159.71,775
40962,2026-07-01,159.71,775
23936,2026-05-01,159.70,781
23936,2026-07-01,159.70,781
23936,2026-06-01,159.70,781
43946,2026-06-01,159.70,781
43946,2026-07-01,159.70,781
43946,2026-05-01,159.70,781
91257,2026-07-01,159.70,781
91257,2026-05-01,159.70,781
91257,2026-06-01,159.70,781
92948,2026-07-01,159.70,781
92948,2026-05-01,159.70,781
92948,2026-06-01,159.70,781
5038,2026-06-01,159.69,793
5038,2026-07-01,159.69,793
5038,2026-05-01,159.69,793
41008,2026-07-01,159.69,793
41008,2026-06-01,159.69,793
41008,2026-05-01,159.69,793
42295,2026-07-01,159.69,793
42295,2026-06-01,159.69,793
42295,2026-05-01,159.69,793
827,2026-07-01,159.68,802
827,2026-05-01,159.68,802
827,2026-06-01,159.68,802
40827,2026-06-01,159.68,802
40827,2026-05-01,159.68,802
40827,2026-07-01,159.68,802
957,2026-05-01,159.67,808
957,2026-07-01,159.67,808
957,2026-06-01,159.67,808
52887,2026-07-01,159.67,808
52887,2026-06-01,159.67,808
52887,2026-05-01,159.67,808
82938,2026-06-01,159.67,808
82938,2026-05-01,159.67,808
82938,2026-07-01,159.67,808
62796,2026-07-01,159.65,817
62796,2026-05-01,159.65,817
62796,2026-06-01,159.65,817
67119,2026-07-01,159.65,817
67119,2026-05-01,159.65,817
67119,2026-06-01,159.65,817
92768,2026-05-01,159.65,817
92768,2026-06-01,159.65,817
92768,2026-07-01,159.65,817
30552,2026-05-01,159.64,826
30552,2026-07-01,159.64,826
30552,2026-06-01,159.64,826
32410,2026-05-01,159.64,826
32410,2026-06-01,159.64,826
32410,2026-07-01,159.64,826
51304,2026-05-01,159.64,826
51304,2026-06-01,159.64,826
51304,2026-07-01,159.64,826
92335,2026-06-01,159.64,826
92335,2026-07-01,159.64,826
92335,2026-05-01,159.64,826
18718,2026-06-01,159.63,838
18718,2026-07-01,159.63,838
18718,2026-05-01,159.63,838
65205,2026-07-01,159.63,838
65205,2026-06-01,159.63,838
65205,2026-05-01,159.63,838
49136,2026-05-01,159.62,844
49136,2026-06-01,159.62,844
49136,2026-07-01,159.62,844
83990,2026-07-01,159.62,844
83990,2026-05-01,159.62,844
83990,2026-06-01,159.62,844
5383,2026-07-01,159.61,850
5383,2026-06-01,159.61,850
5383,2026-05-01,159.61,850
49219,2026-05-01,159.61,850
49219,2026-06-01,159.61,850
49219,2026-07-01,159.61,850
73310,2026-07-01,159.61,850
73310,2026-05-01,159.61,850
73310,2026-06-01,159.61,850
9090,2026-07-01,159.60,859
9090,2026-05-01,159.60,859
9090,2026-06-01,159.60,859
43303,2026-05-01,159.60,859
43303,2026-06-01,159.60,859
43303,2026-07-01,159.60,859
41081,2026-05-01,159.59,865
41081,2026-07-01,159.59,865
41081,2026-06-01,159.59,865
57219,2026-05-01,159.59,865
57219,2026-07-01,159.59,865
57219,2026-06-01,159.59,865
291,2026-06-01,159.58,871
291,2026-05-01,159.58,871
291,2026-07-01,159.58,871
