customerid,paymentdate,payment,runningtotal
250,2026-05-05,66.01,2929699.55
253,2026-05-05,103.11,2929699.55
255,2026-05-05,110.69,2929699.55
261,2026-05-05,102.52,2929699.55
262,2026-05-05,113.90,2929699.55
264,2026-05-05,82.34,2929699.55
267,2026-05-05,30.84,2929699.55
269,2026-05-05,146.46,2929699.55
270,2026-05-05,42.03,2929699.55
273,2026-05-05,28.86,2929699.55
274,2026-05-05,82.89,2929699.55
275,2026-05-05,109.31,2929699.55
276,2026-05-05,41.32,2929699.55
278,2026-05-05,63.13,2929699.55
279,2026-05-05,47.64,2929699.55
281,2026-05-05,31.73,2929699.55
283,2026-05-05,97.54,2929699.55
285,2026-05-05,59.88,2929699.55
288,2026-05-05,76.86,2929699.55
294,2026-05-05,32.73,2929699.55
297,2026-05-05,147.11,2929699.55
298,2026-05-05,31.64,2929699.55
300,2026-05-05,60.59,2929699.55
301,2026-05-05,56.70,2929699.55
303,2026-05-05,37.39,2929699.55
306,2026-05-05,113.28,2929699.55
307,2026-05-05,24.40,2929699.55
308,2026-05-05,40.80,2929699.55
309,2026-05-05,30.05,2929699.55
310,2026-05-05,69.33,2929699.55
312,2026-05-05,27.34,2929699.55
313,2026-05-05,30.85,2929699.55
316,2026-05-05,81.23,2929699.55
318,2026-05-05,36.40,2929699.55
319,2026-05-05,90.08,2929699.55
321,2026-05-05,89.24,2929699.55
328,2026-05-05,44.14,2929699.55
330,2026-05-05,105.75,2929699.55
331,2026-05-05,140.37,2929699.55
333,2026-05-05,22.80,2929699.55
335,2026-05-05,126.29,2929699.55
336,2026-05-05,133.17,2929699.55
338,2026-05-05,121.58,2929699.55
342,2026-05-05,76.23,2929699.55
346,2026-05-05,85.56,2929699.55
347,2026-05-05,76.72,2929699.55
348,2026-05-05,36.29,2929699.55
351,2026-05-05,58.45,2929699.55
352,2026-05-05,39.38,2929699.55
353,2026-05-05,137.56,2929699.55
358,2026-05-05,64.15,2929699.55
360,2026-05-05,34.56,2929699.55
361,2026-05-05,134.71,2929699.55
362,2026-05-05,123.62,2929699.55
364,2026-05-05,25.44,2929699.55
365,2026-05-05,75.69,2929699.55
368,2026-05-05,68.37,2929699.55
369,2026-05-05,30.00,2929699.55
372,2026-05-05,83.37,2929699.55
373,2026-05-05,40.60,2929699.55
379,2026-05-05,22.77,2929699.55
382,2026-05-05,136.38,2929699.55
385,2026-05-05,33.52,2929699.55
392,2026-05-05,83.75,2929699.55
393,2026-05-05,43.73,2929699.55
394,2026-05-05,31.22,2929699.55
400,2026-05-05,37.39,2929699.55
401,2026-05-05,84.82,2929699.55
402,2026-05-05,84.48,2929699.55
403,2026-05-05,25.47,2929699.55
404,2026-05-05,108.60,2929699.55
405,2026-05-05,142.56,2929699.55
406,2026-05-05,33.49,2929699.55
407,2026-05-05,58.54,2929699.55
410,2026-05-05,27.46,2929699.55
411,2026-05-05,42.01,2929699.55
414,2026-05-05,23.42,2929699.55
415,2026-05-05,81.92,2929699.55
418,2026-05-05,133.64,2929699.55
421,2026-05-05,138.33,2929699.55
422,2026-05-05,38.36,2929699.55
425,2026-05-05,90.88,2929699.55
426,2026-05-05,24.04,2929699.55
427,2026-05-05,43.88,2929699.55
428,2026-05-05,27.56,2929699.55
431,2026-05-05,55.28,2929699.55
432,2026-05-05,58.27,2929699.55
433,2026-05-05,89.16,2929699.55
437,2026-05-05,132.58,2929699.55
438,2026-05-05,33.97,2929699.55
439,2026-05-05,33.62,2929699.55
440,2026-05-05,41.42,2929699.55
441,2026-05-05,118.62,2929699.55
443,2026-05-05,125.91,2929699.55
444,2026-05-05,149.01,2929699.55
446,2026-05-05,155.56,2929699.55
451,2026-05-05,44.42,2929699.55
456,2026-05-05,44.64,2929699.55
457,2026-05-05,38.06,2929699.55
458,2026-05-05,58.70,2929699.55
462,2026-05-05,64.39,2929699.55
470,2026-05-05,65.07,2929699.55
471,2026-05-05,159.21,2929699.55
473,2026-05-05,33.76,2929699.55
474,2026-05-05,127.45,2929699.55
475,2026-05-05,36.99,2929699.55
477,2026-05-05,37.04,2929699.55
478,2026-05-05,71.91,2929699.55
479,2026-05-05,37.23,2929699.55
480,2026-05-05,80.97,2929699.55
481,2026-05-05,56.03,2929699.55
482,2026-05-05,34.04,2929699.55
485,2026-05-05,90.46,2929699.55
486,2026-05-05,25.12,2929699.55
487,2026-05-05,133.85,2929699.55
489,2026-05-05,158.65,2929699.55
490,2026-05-05,116.37,2929699.55
495,2026-05-05,108.69,2929699.55
497,2026-05-05,81.21,2929699.55
500,2026-05-05,24.18,2929699.55
502,2026-05-05,57.29,2929699.55
509,2026-05-05,34.89,2929699.55
511,2026-05-05,63.93,2929699.55
514,2026-05-05,46.95,2929699.55
519,2026-05-05,79.88,2929699.55
520,2026-05-05,78.10,2929699.55
521,2026-05-05,32.14,2929699.55
522,2026-05-05,101.96,2929699.55
523,2026-05-05,36.89,2929699.55
528,2026-05-05,102.86,2929699.55
529,2026-05-05,80.45,2929699.55
530,2026-05-05,43.86,2929699.55
532,2026-05-05,28.18,2929699.55
536,2026-05-05,70.86,2929699.55
539,2026-05-05,159.58,2929699.55
541,2026-05-05,46.86,2929699.55
544,2026-05-05,32.44,2929699.55
546,2026-05-05,60.73,2929699.55
547,2026-05-05,35.49,2929699.55
548,2026-05-05,61.50,2929699.55
549,2026-05-05,117.02,2929699.55
551,2026-05-05,30.71,2929699.55
552,2026-05-05,45.85,2929699.55
553,2026-05-05,77.50,2929699.55
556,2026-05-05,90.93,2929699.55
561,2026-05-05,65.78,2929699.55
562,2026-05-05,67.96,2929699.55
563,2026-05-05,36.70,2929699.55
566,2026-05-05,62.16,2929699.55
568,2026-05-05,60.06,2929699.55
570,2026-05-05,105.06,2929699.55
571,2026-05-05,111.30,2929699.55
572,2026-05-05,56.52,2929699.55
574,2026-05-05,48.15,2929699.55
576,2026-05-05,35.96,2929699.55
577,2026-05-05,128.15,2929699.55
582,2026-05-05,30.15,2929699.55
584,2026-05-05,116.98,2929699.55
585,2026-05-05,150.06,2929699.55
589,2026-05-05,23.38,2929699.55
591,2026-05-05,41.94,2929699.55
594,2026-05-05,106.10,2929699.55
598,2026-05-05,134.33,2929699.55
601,2026-05-05,75.39,2929699.55
604,2026-05-05,41.18,2929699.55
606,2026-05-05,111.76,2929699.55
607,2026-05-05,70.33,2929699.55
609,2026-05-05,29.24,2929699.55
612,2026-05-05,22.61,2929699.55
613,2026-05-05,63.79,2929699.55
618,2026-05-05,41.48,2929699.55
619,2026-05-05,30.96,2929699.55
620,2026-05-05,80.89,2929699.55
621,2026-05-05,75.32,2929699.55
623,2026-05-05,56.52,2929699.55
624,2026-05-05,40.80,2929699.55
628,2026-05-05,135.44,2929699.55
632,2026-05-05,55.36,2929699.55
635,2026-05-05,26.93,2929699.55
636,2026-05-05,139.15,2929699.55
638,2026-05-05,151.53,2929699.55
644,2026-05-05,22.23,2929699.55
645,2026-05-05,22.29,2929699.55
647,2026-05-05,54.26,2929699.55
654,2026-05-05,24.20,2929699.55
655,2026-05-05,87.39,2929699.55
656,2026-05-05,55.38,2929699.55
660,2026-05-05,62.69,2929699.55
662,2026-05-05,34.76,2929699.55
663,2026-05-05,57.01,2929699.55
668,2026-05-05,44.55,2929699.55
671,2026-05-05,132.12,2929699.55
674,2026-05-05,147.70,2929699.55
675,2026-05-05,30.31,2929699.55
680,2026-05-05,32.32,2929699.55
685,2026-05-05,101.54,2929699.55
686,2026-05-05,75.07,2929699.55
689,2026-05-05,86.35,2929699.55
690,2026-05-05,22.80,2929699.55
695,2026-05-05,35.42,2929699.55
696,2026-05-05,56.50,2929699.55
697,2026-05-05,107.13,2929699.55
699,2026-05-05,87.62,2929699.55
700,2026-05-05,21.64,2929699.55
702,2026-05-05,26.35,2929699.55
703,2026-05-05,25.87,2929699.55
704,2026-05-05,65.14,2929699.55
705,2026-05-05,37.12,2929699.55
712,2026-05-05,41.00,2929699.55
714,2026-05-05,152.37,2929699.55
715,2026-05-05,115.57,2929699.55
716,2026-05-05,21.84,2929699.55
717,2026-05-05,145.38,2929699.55
718,2026-05-05,133.29,2929699.55
719,2026-05-05,84.96,2929699.55
723,2026-05-05,35.81,2929699.55
726,2026-05-05,43.11,2929699.55
728,2026-05-05,81.63,2929699.55
730,2026-05-05,25.67,2929699.55
733,2026-05-05,57.89,2929699.55
740,2026-05-05,40.82,2929699.55
748,2026-05-05,28.96,2929699.55
750,2026-05-05,88.79,2929699.55
752,2026-05-05,78.35,2929699.55
753,2026-05-05,43.51,2929699.55
755,2026-05-05,68.07,2929699.55
756,2026-05-05,83.47,2929699.55
759,2026-05-05,73.95,2929699.55
760,2026-05-05,127.82,2929699.55
761,2026-05-05,82.54,2929699.55
762,2026-05-05,115.09,2929699.55
763,2026-05-05,73.84,2929699.55
764,2026-05-05,72.16,2929699.55
765,2026-05-05,57.73,2929699.55
766,2026-05-05,43.13,2929699.55
767,2026-05-05,30.93,2929699.55
770,2026-05-05,41.94,2929699.55
771,2026-05-05,119.94,2929699.55
781,2026-05-05,32.38,2929699.55
787,2026-05-05,119.81,2929699.55
791,2026-05-05,117.40,2929699.55
793,2026-05-05,39.38,2929699.55
794,2026-05-05,110.07,2929699.55
797,2026-05-05,33.89,2929699.55
805,2026-05-05,130.09,2929699.55
809,2026-05-05,110.01,2929699.55
810,2026-05-05,47.57,2929699.55
811,2026-05-05,36.36,2929699.55
814,2026-05-05,71.32,2929699.55
815,2026-05-05,72.54,2929699.55
816,2026-05-05,36.55,2929699.55
819,2026-05-05,79.34,2929699.55
820,2026-05-05,82.34,2929699.55
821,2026-05-05,22.00,2929699.55
824,2026-05-05,88.61,2929699.55
826,2026-05-05,23.11,2929699.55
827,2026-05-05,159.68,2929699.55
830,2026-05-05,37.13,2929699.55
834,2026-05-05,70.96,2929699.55
835,2026-05-05,34.82,2929699.55
836,2026-05-05,150.06,2929699.55
837,2026-05-05,27.17,2929699.55
839,2026-05-05,59.96,2929699.55
840,2026-05-05,34.74,2929699.55
842,2026-05-05,32.74,2929699.55
843,2026-05-05,79.66,2929699.55
849,2026-05-05,107.95,2929699.55
850,2026-05-05,53.81,2929699.55
851,2026-05-05,55.99,2929699.55
852,2026-05-05,46.29,2929699.55
855,2026-05-05,39.45,2929699.55
856,2026-05-05,88.93,2929699.55
860,2026-05-05,99.32,2929699.55
862,2026-05-05,30.26,2929699.55
865,2026-05-05,22.89,2929699.55
866,2026-05-05,22.91,2929699.55
869,2026-05-05,60.06,2929699.55
871,2026-05-05,47.91,2929699.55
876,2026-05-05,74.38,2929699.55
878,2026-05-05,31.54,2929699.55
880,2026-05-05,34.69,2929699.55
883,2026-05-05,40.29,2929699.55
885,2026-05-05,55.02,2929699.55
887,2026-05-05,143.66,2929699.55
890,2026-05-05,65.34,2929699.55
891,2026-05-05,43.37,2929699.55
893,2026-05-05,140.30,2929699.55
894,2026-05-05,41.15,2929699.55
897,2026-05-05,23.60,2929699.55
898,2026-05-05,63.73,2929699.55
899,2026-05-05,35.17,2929699.55
900,2026-05-05,64.13,2929699.55
901,2026-05-05,63.34,2929699.55
902,2026-05-05,41.39,2929699.55
903,2026-05-05,24.13,2929699.55
909,2026-05-05,160.14,2929699.55
913,2026-05-05,22.59,2929699.55
915,2026-05-05,53.50,2929699.55
916,2026-05-05,46.22,2929699.55
918,2026-05-05,54.04,2929699.55
922,2026-05-05,112.68,2929699.55
927,2026-05-05,23.60,2929699.55
930,2026-05-05,42.08,2929699.55
931,2026-05-05,37.34,2929699.55
932,2026-05-05,72.20,2929699.55
933,2026-05-05,28.80,2929699.55
934,2026-05-05,41.66,2929699.55
935,2026-05-05,63.00,2929699.55
938,2026-05-05,61.85,2929699.55
941,2026-05-05,100.52,2929699.55
948,2026-05-05,109.89,2929699.55
954,2026-05-05,64.36,2929699.55
963,2026-05-05,42.14,2929699.55
965,2026-05-05,123.26,2929699.55
967,2026-05-05,87.57,2929699.55
968,2026-05-05,59.28,2929699.55
972,2026-05-05,32.82,2929699.55
974,2026-05-05,46.63,2929699.55
975,2026-05-05,36.12,2929699.55
976,2026-05-05,44.58,2929699.55
977,2026-05-05,40.24,2929699.55
979,2026-05-05,119.24,2929699.55
981,2026-05-05,43.31,2929699.55
984,2026-05-05,89.05,2929699.55
986,2026-05-05,56.70,2929699.55
988,2026-05-05,85.62,2929699.55
990,2026-05-05,47.50,2929699.55
991,2026-05-05,42.23,2929699.55
994,2026-05-05,68.34,2929699.55
995,2026-05-05,36.04,2929699.55
996,2026-05-05,79.48,2929699.55
1000,2026-05-05,86.77,2929699.55
1003,2026-05-05,131.64,2929699.55
1004,2026-05-05,23.86,2929699.55
1005,2026-05-05,66.84,2929699.55
1007,2026-05-05,82.03,2929699.55
1008,2026-05-05,21.41,2929699.55
1009,2026-05-05,23.91,2929699.55
1010,2026-05-05,29.44,2929699.55
1011,2026-05-05,74.93,2929699.55
1012,2026-05-05,147.40,2929699.55
1015,2026-05-05,25.21,2929699.55
1017,2026-05-05,40.36,2929699.55
1018,2026-05-05,30.87,2929699.55
1019,2026-05-05,101.77,2929699.55
1022,2026-05-05,78.61,2929699.55
1025,2026-05-05,23.54,2929699.55
1030,2026-05-05,44.97,2929699.55
1033,2026-05-05,36.25,2929699.55
1035,2026-05-05,121.81,2929699.55
1038,2026-05-05,47.96,2929699.55
1039,2026-05-05,131.58,2929699.55
1041,2026-05-05,35.63,2929699.55
1042,2026-05-05,48.12,2929699.55
1043,2026-05-05,35.32,2929699.55
1048,2026-05-05,44.73,2929699.55
1050,2026-05-05,143.71,2929699.55
1052,2026-05-05,77.94,2929699.55
1053,2026-05-05,65.82,2929699.55
1056,2026-05-05,32.07,2929699.55
1057,2026-05-05,38.02,2929699.55
1058,2026-05-05,33.26,2929699.55
1062,2026-05-05,157.00,2929699.55
1063,2026-05-05,28.01,2929699.55
1066,2026-05-05,61.96,2929699.55
1067,2026-05-05,33.11,2929699.55
1069,2026-05-05,112.17,2929699.55
1070,2026-05-05,112.94,2929699.55
1071,2026-05-05,63.79,2929699.55
1072,2026-05-05,41.69,2929699.55
1073,2026-05-05,28.94,2929699.55
1074,2026-05-05,89.37,2929699.55
1075,2026-05-05,41.82,2929699.55
1076,2026-05-05,87.45,2929699.55
1080,2026-05-05,79.04,2929699.55
1085,2026-05-05,64.27,2929699.55
1088,2026-05-05,107.62,2929699.55
1092,2026-05-05,47.37,2929699.55
1093,2026-05-05,57.48,2929699.55
1094,2026-05-05,81.22,2929699.55
1098,2026-05-05,151.92,2929699.55
1099,2026-05-05,78.11,2929699.55
1101,2026-05-05,65.28,2929699.55
1107,2026-05-05,151.44,2929699.55
1109,2026-05-05,27.18,2929699.55
1111,2026-05-05,44.44,2929699.55
1114,2026-05-05,24.90,2929699.55
1116,2026-05-05,24.42,2929699.55
1118,2026-05-05,147.23,2929699.55
1121,2026-05-05,54.11,2929699.55
1124,2026-05-05,36.19,2929699.55
1125,2026-05-05,79.38,2929699.55
1127,2026-05-05,83.76,2929699.55
1128,2026-05-05,36.75,2929699.55
1129,2026-05-05,36.92,2929699.55
1132,2026-05-05,67.26,2929699.55
1134,2026-05-05,23.05,2929699.55
1135,2026-05-05,99.72,2929699.55
1136,2026-05-05,79.68,2929699.55
1137,2026-05-05,97.69,2929699.55
1141,2026-05-05,64.82,2929699.55
1143,2026-05-05,71.44,2929699.55
1144,2026-05-05,109.30,2929699.55
1154,2026-05-05,89.75,2929699.55
1156,2026-05-05,39.77,2929699.55
1160,2026-05-05,60.87,2929699.55
1161,2026-05-05,44.43,2929699.55
1162,2026-05-05,142.89,2929699.55
1164,2026-05-05,74.76,2929699.55
1165,2026-05-05,148.70,2929699.55
1169,2026-05-05,53.62,2929699.55
1170,2026-05-05,29.52,2929699.55
1175,2026-05-05,42.56,2929699.55
1176,2026-05-05,33.43,2929699.55
1177,2026-05-05,99.97,2929699.55
1179,2026-05-05,46.04,2929699.55
1180,2026-05-05,31.63,2929699.55
1183,2026-05-05,32.99,2929699.55
1184,2026-05-05,33.65,2929699.55
1185,2026-05-05,36.89,2929699.55
1186,2026-05-05,28.71,2929699.55
1187,2026-05-05,45.50,2929699.55
1190,2026-05-05,30.44,2929699.55
1191,2026-05-05,88.49,2929699.55
1193,2026-05-05,122.35,2929699.55
1194,2026-05-05,60.68,2929699.55
1195,2026-05-05,45.95,2929699.55
1197,2026-05-05,73.11,2929699.55
1198,2026-05-05,73.72,2929699.55
1201,2026-05-05,84.24,2929699.55
1204,2026-05-05,71.72,2929699.55
1208,2026-05-05,84.56,2929699.55
1210,2026-05-05,61.36,2929699.55
1213,2026-05-05,29.39,2929699.55
1214,2026-05-05,46.52,2929699.55
1215,2026-05-05,81.33,2929699.55
1217,2026-05-05,114.21,2929699.55
1219,2026-05-05,35.12,2929699.55
1221,2026-05-05,60.25,2929699.55
1222,2026-05-05,117.63,2929699.55
1224,2026-05-05,79.59,2929699.55
1228,2026-05-05,78.72,2929699.55
1229,2026-05-05,82.52,2929699.55
1231,2026-05-05,66.53,2929699.55
1232,2026-05-05,38.71,2929699.55
1234,2026-05-05,26.57,2929699.55
1236,2026-05-05,157.79,2929699.55
1237,2026-05-05,79.76,2929699.55
1238,2026-05-05,47.79,2929699.55
1239,2026-05-05,60.92,2929699.55
1241,2026-05-05,65.15,2929699.55
1244,2026-05-05,87.03,2929699.55
1247,2026-05-05,32.09,2929699.55
1254,2026-05-05,27.09,2929699.55
1256,2026-05-05,47.28,2929699.55
1257,2026-05-05,27.38,2929699.55
1258,2026-05-05,109.93,2929699.55
1261,2026-05-05,39.65,2929699.55
1263,2026-05-05,40.37,2929699.55
1264,2026-05-05,82.82,2929699.55
1265,2026-05-05,100.31,2929699.55
1266,2026-05-05,149.98,2929699.55
1267,2026-05-05,43.74,2929699.55
1272,2026-05-05,60.67,2929699.55
1273,2026-05-05,32.12,2929699.55
1276,2026-05-05,68.54,2929699.55
1277,2026-05-05,43.82,2929699.55
1278,2026-05-05,75.98,2929699.55
1279,2026-05-05,71.85,2929699.55
1281,2026-05-05,62.20,2929699.55
1282,2026-05-05,58.73,2929699.55
1283,2026-05-05,35.47,2929699.55
1287,2026-05-05,158.79,2929699.55
1290,2026-05-05,137.68,2929699.55
1294,2026-05-05,47.99,2929699.55
1296,2026-05-05,47.27,2929699.55
1297,2026-05-05,76.31,2929699.55
1299,2026-05-05,87.26,2929699.55
1301,2026-05-05,26.05,2929699.55
1303,2026-05-05,54.07,2929699.55
1306,2026-05-05,47.35,2929699.55
1308,2026-05-05,159.06,2929699.55
1309,2026-05-05,37.48,2929699.55
1311,2026-05-05,41.69,2929699.55
1312,2026-05-05,90.89,2929699.55
1314,2026-05-05,27.58,2929699.55
1315,2026-05-05,31.28,2929699.55
1320,2026-05-05,29.68,2929699.55
1322,2026-05-05,44.73,2929699.55
1324,2026-05-05,153.02,2929699.55
1325,2026-05-05,42.41,2929699.55
1326,2026-05-05,126.62,2929699.55
1330,2026-05-05,73.42,2929699.55
1331,2026-05-05,44.36,2929699.55
1332,2026-05-05,24.86,2929699.55
1334,2026-05-05,62.61,2929699.55
1335,2026-05-05,32.26,2929699.55
1338,2026-05-05,116.78,2929699.55
1340,2026-05-05,62.15,2929699.55
1341,2026-05-05,100.56,2929699.55
1343,2026-05-05,37.32,2929699.55
1344,2026-05-05,112.07,2929699.55
1347,2026-05-05,35.84,2929699.55
1348,2026-05-05,83.52,2929699.55
1349,2026-05-05,25.98,2929699.55
1350,2026-05-05,71.85,2929699.55
1351,2026-05-05,71.06,2929699.55
1356,2026-05-05,35.41,2929699.55
1357,2026-05-05,33.13,2929699.55
1359,2026-05-05,123.33,2929699.55
1366,2026-05-05,46.07,2929699.55
1367,2026-05-05,76.69,2929699.55
1368,2026-05-05,43.45,2929699.55
1369,2026-05-05,30.13,2929699.55
1370,2026-05-05,86.49,2929699.55
1374,2026-05-05,74.61,2929699.55
1376,2026-05-05,22.12,2929699.55
1377,2026-05-05,79.00,2929699.55
1379,2026-05-05,144.03,2929699.55
1381,2026-05-05,43.76,2929699.55
1384,2026-05-05,23.52,2929699.55
1387,2026-05-05,99.06,2929699.55
1388,2026-05-05,57.95,2929699.55
1392,2026-05-05,69.42,2929699.55
1393,2026-05-05,38.73,2929699.55
1402,2026-05-05,73.78,2929699.55
1404,2026-05-05,88.65,2929699.55
1408,2026-05-05,79.59,2929699.55
1409,2026-05-05,42.25,2929699.55
1412,2026-05-05,29.30,2929699.55
1414,2026-05-05,41.43,2929699.55
1415,2026-05-05,65.89,2929699.55
1417,2026-05-05,153.13,2929699.55
1418,2026-05-05,77.68,2929699.55
1421,2026-05-05,21.58,2929699.55
1423,2026-05-05,149.96,2929699.55
1426,2026-05-05,159.56,2929699.55
1430,2026-05-05,76.76,2929699.55
1431,2026-05-05,36.40,2929699.55
1433,2026-05-05,74.23,2929699.55
1435,2026-05-05,86.10,2929699.55
1436,2026-05-05,63.58,2929699.55
1440,2026-05-05,54.56,2929699.55
1447,2026-05-05,70.28,2929699.55
1448,2026-05-05,27.51,2929699.55
1454,2026-05-05,89.61,2929699.55
1457,2026-05-05,58.61,2929699.55
1460,2026-05-05,132.28,2929699.55
1462,2026-05-05,43.59,2929699.55
1464,2026-05-05,23.94,2929699.55
1466,2026-05-05,67.07,2929699.55
1469,2026-05-05,26.54,2929699.55
1470,2026-05-05,26.11,2929699.55
1471,2026-05-05,156.12,2929699.55
1474,2026-05-05,101.97,2929699.55
1476,2026-05-05,128.20,2929699.55
1477,2026-05-05,90.44,2929699.55
1478,2026-05-05,77.05,2929699.55
1481,2026-05-05,58.42,2929699.55
1482,2026-05-05,42.49,2929699.55
1487,2026-05-05,74.99,2929699.55
1490,2026-05-05,67.06,2929699.55
1491,2026-05-05,64.66,2929699.55
1492,2026-05-05,107.47,2929699.55
1496,2026-05-05,81.43,2929699.55
1498,2026-05-05,32.31,2929699.55
1503,2026-05-05,96.35,2929699.55
1504,2026-05-05,131.75,2929699.55
1507,2026-05-05,24.47,2929699.55
1508,2026-05-05,96.34,2929699.55
1509,2026-05-05,45.79,2929699.55
1510,2026-05-05,32.30,2929699.55
1511,2026-05-05,34.53,2929699.55
1515,2026-05-05,26.81,2929699.55
1516,2026-05-05,67.99,2929699.55
1519,2026-05-05,40.48,2929699.55
1520,2026-05-05,60.12,2929699.55
1521,2026-05-05,29.70,2929699.55
1523,2026-05-05,65.56,2929699.55
1524,2026-05-05,85.86,2929699.55
1525,2026-05-05,87.59,2929699.55
1526,2026-05-05,41.31,2929699.55
1531,2026-05-05,24.36,2929699.55
1537,2026-05-05,151.64,2929699.55
1538,2026-05-05,136.44,2929699.55
1544,2026-05-05,47.86,2929699.55
1545,2026-05-05,64.77,2929699.55
1546,2026-05-05,77.43,2929699.55
1547,2026-05-05,142.91,2929699.55
1553,2026-05-05,77.32,2929699.55
1554,2026-05-05,44.12,2929699.55
1557,2026-05-05,33.74,2929699.55
1559,2026-05-05,144.01,2929699.55
1562,2026-05-05,110.04,2929699.55
1565,2026-05-05,122.68,2929699.55
1567,2026-05-05,85.29,2929699.55
1568,2026-05-05,32.70,2929699.55
1573,2026-05-05,42.81,2929699.55
1574,2026-05-05,33.28,2929699.55
1577,2026-05-05,42.85,2929699.55
1580,2026-05-05,155.74,2929699.55
1583,2026-05-05,21.53,2929699.55
1584,2026-05-05,55.63,2929699.55
1586,2026-05-05,23.21,2929699.55
1587,2026-05-05,23.08,2929699.55
1588,2026-05-05,25.94,2929699.55
1590,2026-05-05,37.16,2929699.55
1594,2026-05-05,41.33,2929699.55
1595,2026-05-05,58.57,2929699.55
1596,2026-05-05,46.12,2929699.55
1598,2026-05-05,60.17,2929699.55
1601,2026-05-05,26.66,2929699.55
