customerid,month,payment,nextmonthpayment
81,6,78.13,78.13
81,7,78.13,
82,5,28.13,28.13
82,6,28.13,28.13
82,7,28.13,
83,5,100.98,100.98
83,6,100.98,100.98
83,7,100.98,
84,5,34.29,34.29
84,6,34.29,34.29
84,7,34.29,
85,5,140.91,140.91
85,6,140.91,140.91
85,7,140.91,
86,5,23.43,23.43
86,6,23.43,23.43
86,7,23.43,
87,5,25.98,25.98
87,6,25.98,25.98
87,7,25.98,
88,5,75.96,75.96
88,6,75.96,75.96
88,7,75.96,
89,5,32.14,32.14
89,6,32.14,32.14
89,7,32.14,
90,5,133.03,133.03
90,6,133.03,133.03
90,7,133.03,
91,5,54.18,54.18
91,6,54.18,54.18
91,7,54.18,
92,5,59.80,59.80
92,6,59.80,59.80
92,7,59.80,
93,5,71.23,71.23
93,6,71.23,71.23
93,7,71.23,
94,5,80.60,80.60
94,6,80.60,80.60
94,7,80.60,
95,5,129.91,129.91
95,6,129.91,129.91
95,7,129.91,
96,5,89.39,89.39
96,6,89.39,89.39
96,7,89.39,
97,5,118.44,118.44
97,6,118.44,118.44
97,7,118.44,
98,5,61.06,61.06
98,6,61.06,61.06
98,7,61.06,
99,5,87.25,87.25
99,6,87.25,87.25
99,7,87.25,
100,5,46.97,46.97
100,6,46.97,46.97
100,7,46.97,
101,5,151.54,151.54
101,6,151.54,151.54
101,7,151.54,
102,5,27.17,27.17
102,6,27.17,27.17
102,7,27.17,
103,5,76.69,76.69
103,6,76.69,76.69
103,7,76.69,
104,5,80.42,80.42
104,6,80.42,80.42
104,7,80.42,
105,5,23.53,23.53
105,6,23.53,23.53
105,7,23.53,
106,5,43.13,43.13
106,6,43.13,43.13
106,7,43.13,
107,5,88.63,88.63
107,6,88.63,88.63
107,7,88.63,
108,5,65.47,65.47
108,6,65.47,65.47
108,7,65.47,
109,5,152.52,152.52
109,6,152.52,152.52
109,7,152.52,
110,5,158.02,158.02
110,6,158.02,158.02
110,7,158.02,
111,5,25.78,25.78
111,6,25.78,25.78
111,7,25.78,
112,5,55.93,55.93
112,6,55.93,55.93
112,7,55.93,
113,5,23.81,23.81
113,6,23.81,23.81
113,7,23.81,
114,5,36.90,36.90
114,6,36.90,36.90
114,7,36.90,
115,5,22.27,22.27
115,6,22.27,22.27
115,7,22.27,
116,5,40.25,40.25
116,6,40.25,40.25
116,7,40.25,
117,5,82.40,82.40
117,6,82.40,82.40
117,7,82.40,
118,5,27.84,27.84
118,6,27.84,27.84
118,7,27.84,
119,5,71.23,71.23
119,6,71.23,71.23
119,7,71.23,
120,5,58.50,58.50
120,6,58.50,58.50
120,7,58.50,
121,5,45.69,45.69
121,6,45.69,45.69
121,7,45.69,
122,5,45.60,45.60
122,6,45.60,45.60
122,7,45.60,
123,5,39.01,39.01
123,6,39.01,39.01
123,7,39.01,
124,5,25.00,25.00
124,6,25.00,25.00
124,7,25.00,
125,5,56.52,56.52
125,6,56.52,56.52
125,7,56.52,
126,5,114.36,114.36
126,6,114.36,114.36
126,7,114.36,
127,5,84.92,84.92
127,6,84.92,84.92
127,7,84.92,
128,5,137.91,137.91
128,6,137.91,137.91
128,7,137.91,
129,5,73.15,73.15
129,6,73.15,73.15
129,7,73.15,
130,5,89.23,89.23
130,6,89.23,89.23
130,7,89.23,
131,5,39.20,39.20
131,6,39.20,39.20
131,7,39.20,
132,5,78.92,78.92
132,6,78.92,78.92
132,7,78.92,
133,5,38.58,38.58
133,6,38.58,38.58
133,7,38.58,
134,5,40.81,40.81
134,6,40.81,40.81
134,7,40.81,
135,5,22.72,22.72
135,6,22.72,22.72
135,7,22.72,
136,5,87.67,87.67
136,6,87.67,87.67
136,7,87.67,
137,5,112.63,112.63
137,6,112.63,112.63
137,7,112.63,
138,5,43.38,43.38
138,6,43.38,43.38
138,7,43.38,
139,5,37.73,37.73
139,6,37.73,37.73
139,7,37.73,
140,5,43.85,43.85
140,6,43.85,43.85
140,7,43.85,
141,5,41.18,41.18
141,6,41.18,41.18
141,7,41.18,
142,5,121.08,121.08
142,6,121.08,121.08
142,7,121.08,
143,5,134.50,134.50
143,6,134.50,134.50
143,7,134.50,
144,5,31.04,31.04
144,6,31.04,31.04
144,7,31.04,
145,5,31.49,31.49
145,6,31.49,31.49
145,7,31.49,
146,5,76.26,76.26
146,6,76.26,76.26
146,7,76.26,
147,5,25.66,25.66
147,6,25.66,25.66
147,7,25.66,
148,5,149.16,149.16
148,6,149.16,149.16
148,7,149.16,
149,5,59.79,59.79
149,6,59.79,59.79
149,7,59.79,
150,5,25.49,25.49
150,6,25.49,25.49
150,7,25.49,
151,5,33.52,33.52
151,6,33.52,33.52
151,7,33.52,
152,5,64.91,64.91
152,6,64.91,64.91
152,7,64.91,
153,5,28.98,28.98
153,6,28.98,28.98
153,7,28.98,
154,5,79.16,79.16
154,6,79.16,79.16
154,7,79.16,
155,5,85.31,85.31
155,6,85.31,85.31
155,7,85.31,
156,5,36.89,36.89
156,6,36.89,36.89
156,7,36.89,
157,5,46.84,46.84
157,6,46.84,46.84
157,7,46.84,
158,5,44.90,44.90
158,6,44.90,44.90
158,7,44.90,
159,5,57.43,57.43
159,6,57.43,57.43
159,7,57.43,
160,5,46.56,46.56
160,6,46.56,46.56
160,7,46.56,
161,5,140.28,140.28
161,6,140.28,140.28
161,7,140.28,
162,5,42.14,42.14
162,6,42.14,42.14
162,7,42.14,
163,5,69.52,69.52
163,6,69.52,69.52
163,7,69.52,
164,5,74.00,74.00
164,6,74.00,74.00
164,7,74.00,
165,5,46.05,46.05
165,6,46.05,46.05
165,7,46.05,
166,5,44.77,44.77
166,6,44.77,44.77
166,7,44.77,
167,5,22.57,22.57
167,6,22.57,22.57
167,7,22.57,
168,5,86.45,86.45
168,6,86.45,86.45
168,7,86.45,
169,5,41.44,41.44
169,6,41.44,41.44
169,7,41.44,
170,5,102.42,102.42
170,6,102.42,102.42
170,7,102.42,
171,5,61.69,61.69
171,6,61.69,61.69
171,7,61.69,
172,5,31.02,31.02
172,6,31.02,31.02
172,7,31.02,
173,5,83.59,83.59
173,6,83.59,83.59
173,7,83.59,
174,5,31.59,31.59
174,6,31.59,31.59
174,7,31.59,
175,5,29.80,29.80
175,6,29.80,29.80
175,7,29.80,
176,5,21.90,21.90
176,6,21.90,21.90
176,7,21.90,
177,5,47.83,47.83
177,6,47.83,47.83
177,7,47.83,
178,5,67.01,67.01
178,6,67.01,67.01
178,7,67.01,
179,5,81.62,81.62
179,6,81.62,81.62
179,7,81.62,
180,5,28.64,28.64
180,6,28.64,28.64
180,7,28.64,
181,5,27.80,27.80
181,6,27.80,27.80
181,7,27.80,
182,5,81.47,81.47
182,6,81.47,81.47
182,7,81.47,
183,5,41.91,41.91
183,6,41.91,41.91
183,7,41.91,
184,5,83.04,83.04
184,6,83.04,83.04
184,7,83.04,
185,5,25.19,25.19
185,6,25.19,25.19
185,7,25.19,
186,5,42.37,42.37
186,6,42.37,42.37
186,7,42.37,
187,5,73.22,73.22
187,6,73.22,73.22
187,7,73.22,
188,5,22.95,22.95
188,6,22.95,22.95
188,7,22.95,
189,5,32.30,32.30
189,6,32.30,32.30
189,7,32.30,
190,5,83.91,83.91
190,6,83.91,83.91
190,7,83.91,
191,5,42.58,42.58
191,6,42.58,42.58
191,7,42.58,
192,5,23.24,23.24
192,6,23.24,23.24
192,7,23.24,
193,5,78.68,78.68
193,6,78.68,78.68
193,7,78.68,
194,5,73.39,73.39
194,6,73.39,73.39
194,7,73.39,
195,5,54.05,54.05
195,6,54.05,54.05
195,7,54.05,
196,5,46.23,46.23
196,6,46.23,46.23
196,7,46.23,
197,5,26.64,26.64
197,6,26.64,26.64
197,7,26.64,
198,5,22.83,22.83
198,6,22.83,22.83
198,7,22.83,
199,5,85.21,85.21
199,6,85.21,85.21
199,7,85.21,
200,5,127.69,127.69
200,6,127.69,127.69
200,7,127.69,
201,5,24.85,24.85
201,6,24.85,24.85
201,7,24.85,
202,5,22.45,22.45
202,6,22.45,22.45
202,7,22.45,
203,5,84.78,84.78
203,6,84.78,84.78
203,7,84.78,
204,5,75.66,75.66
204,6,75.66,75.66
204,7,75.66,
205,5,79.83,79.83
205,6,79.83,79.83
205,7,79.83,
206,5,22.71,22.71
206,6,22.71,22.71
206,7,22.71,
207,5,88.20,88.20
207,6,88.20,88.20
207,7,88.20,
208,5,76.79,76.79
208,6,76.79,76.79
208,7,76.79,
209,5,62.95,62.95
209,6,62.95,62.95
209,7,62.95,
210,5,63.11,63.11
210,6,63.11,63.11
210,7,63.11,
211,5,90.12,90.12
211,6,90.12,90.12
211,7,90.12,
212,5,98.47,98.47
212,6,98.47,98.47
212,7,98.47,
213,5,67.04,67.04
213,6,67.04,67.04
213,7,67.04,
214,5,131.96,131.96
214,6,131.96,131.96
214,7,131.96,
215,5,82.45,82.45
215,6,82.45,82.45
215,7,82.45,
216,5,77.61,77.61
216,6,77.61,77.61
216,7,77.61,
217,5,42.19,42.19
217,6,42.19,42.19
217,7,42.19,
218,5,44.84,44.84
218,6,44.84,44.84
218,7,44.84,
219,5,85.32,85.32
219,6,85.32,85.32
219,7,85.32,
220,5,34.49,34.49
220,6,34.49,34.49
220,7,34.49,
221,5,55.61,55.61
221,6,55.61,55.61
221,7,55.61,
222,5,65.57,65.57
222,6,65.57,65.57
222,7,65.57,
223,5,153.44,153.44
223,6,153.44,153.44
223,7,153.44,
224,5,116.48,116.48
224,6,116.48,116.48
224,7,116.48,
225,5,34.03,34.03
225,6,34.03,34.03
225,7,34.03,
226,5,21.55,21.55
226,6,21.55,21.55
226,7,21.55,
227,5,29.75,29.75
227,6,29.75,29.75
227,7,29.75,
228,5,32.40,32.40
228,6,32.40,32.40
228,7,32.40,
229,5,140.51,140.51
229,6,140.51,140.51
229,7,140.51,
230,5,67.87,67.87
230,6,67.87,67.87
230,7,67.87,
231,5,34.18,34.18
231,6,34.18,34.18
231,7,34.18,
232,5,41.86,41.86
232,6,41.86,41.86
232,7,41.86,
233,5,38.45,38.45
233,6,38.45,38.45
233,7,38.45,
234,5,71.14,71.14
234,6,71.14,71.14
234,7,71.14,
235,5,46.79,46.79
235,6,46.79,46.79
235,7,46.79,
236,5,31.25,31.25
236,6,31.25,31.25
236,7,31.25,
237,5,31.08,31.08
237,6,31.08,31.08
237,7,31.08,
238,5,57.85,57.85
238,6,57.85,57.85
238,7,57.85,
239,5,31.40,31.40
239,6,31.40,31.40
239,7,31.40,
240,5,59.56,59.56
240,6,59.56,59.56
240,7,59.56,
241,5,33.63,33.63
241,6,33.63,33.63
241,7,33.63,
242,5,31.55,31.55
242,6,31.55,31.55
242,7,31.55,
243,5,37.85,37.85
243,6,37.85,37.85
243,7,37.85,
244,5,85.93,85.93
244,6,85.93,85.93
244,7,85.93,
245,5,123.42,123.42
245,6,123.42,123.42
245,7,123.42,
246,5,151.28,151.28
246,6,151.28,151.28
246,7,151.28,
247,5,29.94,29.94
247,6,29.94,29.94
247,7,29.94,
248,5,99.60,99.60
248,6,99.60,99.60
248,7,99.60,
249,5,118.92,118.92
249,6,118.92,118.92
249,7,118.92,
250,5,66.01,66.01
250,6,66.01,66.01
250,7,66.01,
251,5,134.67,134.67
251,6,134.67,134.67
251,7,134.67,
252,5,37.38,37.38
252,6,37.38,37.38
252,7,37.38,
253,5,103.11,103.11
253,6,103.11,103.11
253,7,103.11,
254,5,40.39,40.39
254,6,40.39,40.39
254,7,40.39,
255,5,110.69,110.69
255,6,110.69,110.69
255,7,110.69,
256,5,37.58,37.58
256,6,37.58,37.58
256,7,37.58,
257,5,44.24,44.24
257,6,44.24,44.24
257,7,44.24,
258,5,159.13,159.13
258,6,159.13,159.13
258,7,159.13,
259,5,43.05,43.05
259,6,43.05,43.05
259,7,43.05,
260,5,88.16,88.16
260,6,88.16,88.16
260,7,88.16,
261,5,102.52,102.52
261,6,102.52,102.52
261,7,102.52,
262,5,113.90,113.90
262,6,113.90,113.90
262,7,113.90,
263,5,70.11,70.11
263,6,70.11,70.11
263,7,70.11,
264,5,82.34,82.34
264,6,82.34,82.34
264,7,82.34,
265,5,134.25,134.25
265,6,134.25,134.25
265,7,134.25,
266,5,149.43,149.43
266,6,149.43,149.43
266,7,149.43,
267,5,30.84,30.84
267,6,30.84,30.84
267,7,30.84,
268,5,71.32,71.32
268,6,71.32,71.32
268,7,71.32,
269,5,146.46,146.46
269,6,146.46,146.46
269,7,146.46,
270,5,42.03,42.03
270,6,42.03,42.03
270,7,42.03,
271,5,76.47,76.47
271,6,76.47,76.47
271,7,76.47,
272,5,73.53,73.53
272,6,73.53,73.53
272,7,73.53,
273,5,28.86,28.86
273,6,28.86,28.86
273,7,28.86,
274,5,82.89,82.89
274,6,82.89,82.89
274,7,82.89,
275,5,109.31,109.31
275,6,109.31,109.31
275,7,109.31,
276,5,41.32,41.32
276,6,41.32,41.32
276,7,41.32,
277,5,54.70,54.70
277,6,54.70,54.70
277,7,54.70,
278,5,63.13,63.13
278,6,63.13,63.13
278,7,63.13,
279,5,47.64,47.64
279,6,47.64,47.64
279,7,47.64,
280,5,124.49,124.49
280,6,124.49,124.49
280,7,124.49,
281,5,31.73,31.73
281,6,31.73,31.73
281,7,31.73,
282,5,29.76,29.76
282,6,29.76,29.76
282,7,29.76,
283,5,97.54,97.54
283,6,97.54,97.54
283,7,97.54,
284,5,47.87,47.87
284,6,47.87,47.87
284,7,47.87,
285,5,59.88,59.88
285,6,59.88,59.88
285,7,59.88,
286,5,64.15,64.15
286,6,64.15,64.15
286,7,64.15,
287,5,155.51,155.51
287,6,155.51,155.51
287,7,155.51,
288,5,76.86,76.86
288,6,76.86,76.86
288,7,76.86,
289,5,61.30,61.30
289,6,61.30,61.30
289,7,61.30,
290,5,134.09,134.09
290,6,134.09,134.09
290,7,134.09,
291,5,159.58,159.58
291,6,159.58,159.58
291,7,159.58,
292,5,125.72,125.72
292,6,125.72,125.72
292,7,125.72,
293,5,61.91,61.91
293,6,61.91,61.91
293,7,61.91,
294,5,32.73,32.73
294,6,32.73,32.73
294,7,32.73,
295,5,39.12,39.12
295,6,39.12,39.12
295,7,39.12,
296,5,66.90,66.90
296,6,66.90,66.90
296,7,66.90,
297,5,147.11,147.11
297,6,147.11,147.11
297,7,147.11,
298,5,31.64,31.64
298,6,31.64,31.64
298,7,31.64,
299,5,107.36,107.36
299,6,107.36,107.36
299,7,107.36,
300,5,60.59,60.59
300,6,60.59,60.59
300,7,60.59,
301,5,56.70,56.70
301,6,56.70,56.70
301,7,56.70,
302,5,40.60,40.60
302,6,40.60,40.60
302,7,40.60,
303,5,37.39,37.39
303,6,37.39,37.39
303,7,37.39,
304,5,68.70,68.70
304,6,68.70,68.70
304,7,68.70,
305,5,28.08,28.08
305,6,28.08,28.08
305,7,28.08,
306,5,113.28,113.28
306,6,113.28,113.28
306,7,113.28,
307,5,24.40,24.40
307,6,24.40,24.40
307,7,24.40,
308,5,40.80,40.80
308,6,40.80,40.80
308,7,40.80,
309,5,30.05,30.05
309,6,30.05,30.05
309,7,30.05,
310,5,69.33,69.33
310,6,69.33,69.33
310,7,69.33,
311,5,87.03,87.03
311,6,87.03,87.03
311,7,87.03,
312,5,27.34,27.34
312,6,27.34,27.34
312,7,27.34,
313,5,30.85,30.85
313,6,30.85,30.85
313,7,30.85,
314,5,117.03,117.03
314,6,117.03,117.03
314,7,117.03,
315,5,21.46,21.46
315,6,21.46,21.46
315,7,21.46,
316,5,81.23,81.23
316,6,81.23,81.23
316,7,81.23,
317,5,44.62,44.62
317,6,44.62,44.62
317,7,44.62,
318,5,36.40,36.40
318,6,36.40,36.40
318,7,36.40,
319,5,90.08,90.08
319,6,90.08,90.08
319,7,90.08,
320,5,59.97,59.97
320,6,59.97,59.97
320,7,59.97,
321,5,89.24,89.24
321,6,89.24,89.24
321,7,89.24,
322,5,159.10,159.10
322,6,159.10,159.10
322,7,159.10,
323,5,77.60,77.60
323,6,77.60,77.60
323,7,77.60,
324,5,36.64,36.64
324,6,36.64,36.64
324,7,36.64,
325,5,83.48,83.48
325,6,83.48,83.48
325,7,83.48,
326,5,27.30,27.30
326,6,27.30,27.30
326,7,27.30,
327,5,42.63,42.63
327,6,42.63,42.63
327,7,42.63,
328,5,44.14,44.14
328,6,44.14,44.14
328,7,44.14,
329,5,35.87,35.87
329,6,35.87,35.87
329,7,35.87,
330,5,105.75,105.75
330,6,105.75,105.75
330,7,105.75,
331,5,140.37,140.37
331,6,140.37,140.37
331,7,140.37,
332,5,75.04,75.04
332,6,75.04,75.04
332,7,75.04,
333,5,22.80,22.80
333,6,22.80,22.80
333,7,22.80,
334,5,32.03,32.03
334,6,32.03,32.03
334,7,32.03,
335,5,126.29,126.29
335,6,126.29,126.29
335,7,126.29,
336,5,133.17,133.17
336,6,133.17,133.17
336,7,133.17,
337,5,81.99,81.99
337,6,81.99,81.99
337,7,81.99,
338,5,121.58,121.58
338,6,121.58,121.58
338,7,121.58,
339,5,96.61,96.61
339,6,96.61,96.61
339,7,96.61,
340,5,32.46,32.46
340,6,32.46,32.46
340,7,32.46,
341,5,31.23,31.23
341,6,31.23,31.23
341,7,31.23,
342,5,76.23,76.23
342,6,76.23,76.23
342,7,76.23,
343,5,151.12,151.12
343,6,151.12,151.12
343,7,151.12,
344,5,98.31,98.31
344,6,98.31,98.31
344,7,98.31,
345,5,43.83,43.83
345,6,43.83,43.83
345,7,43.83,
346,5,85.56,85.56
346,6,85.56,85.56
346,7,85.56,
347,5,76.72,76.72
347,6,76.72,76.72
347,7,76.72,
348,5,36.29,36.29
348,6,36.29,36.29
348,7,36.29,
349,5,34.19,34.19
349,6,34.19,34.19
349,7,34.19,
350,5,31.80,31.80
350,6,31.80,31.80
350,7,31.80,
351,5,58.45,58.45
351,6,58.45,58.45
351,7,58.45,
352,5,39.38,39.38
352,6,39.38,39.38
352,7,39.38,
353,5,137.56,137.56
353,6,137.56,137.56
353,7,137.56,
354,5,101.30,101.30
354,6,101.30,101.30
354,7,101.30,
355,5,40.61,40.61
355,6,40.61,40.61
355,7,40.61,
356,5,83.50,83.50
356,6,83.50,83.50
356,7,83.50,
357,5,112.50,112.50
357,6,112.50,112.50
357,7,112.50,
358,5,64.15,64.15
358,6,64.15,64.15
358,7,64.15,
359,5,66.90,66.90
359,6,66.90,66.90
359,7,66.90,
360,5,34.56,34.56
360,6,34.56,34.56
360,7,34.56,
361,5,134.71,134.71
361,6,134.71,134.71
361,7,134.71,
362,5,123.62,123.62
362,6,123.62,123.62
362,7,123.62,
363,5,59.63,59.63
363,6,59.63,59.63
363,7,59.63,
364,5,25.44,25.44
364,6,25.44,25.44
364,7,25.44,
365,5,75.69,75.69
365,6,75.69,75.69
365,7,75.69,
366,5,105.54,105.54
366,6,105.54,105.54
366,7,105.54,
367,5,66.82,66.82
367,6,66.82,66.82
367,7,66.82,
368,5,68.37,68.37
368,6,68.37,68.37
368,7,68.37,
369,5,30.00,30.00
369,6,30.00,30.00
369,7,30.00,
370,5,100.27,100.27
370,6,100.27,100.27
370,7,100.27,
371,5,46.17,46.17
371,6,46.17,46.17
371,7,46.17,
372,5,83.37,83.37
372,6,83.37,83.37
372,7,83.37,
373,5,40.60,40.60
373,6,40.60,40.60
373,7,40.60,
374,5,87.01,87.01
374,6,87.01,87.01
374,7,87.01,
375,5,74.49,74.49
375,6,74.49,74.49
375,7,74.49,
376,5,30.01,30.01
376,6,30.01,30.01
376,7,30.01,
377,5,35.29,35.29
377,6,35.29,35.29
377,7,35.29,
378,5,104.06,104.06
378,6,104.06,104.06
378,7,104.06,
379,5,22.77,22.77
379,6,22.77,22.77
379,7,22.77,
380,5,35.04,35.04
380,6,35.04,35.04
380,7,35.04,
381,5,21.40,21.40
381,6,21.40,21.40
381,7,21.40,
382,5,136.38,136.38
382,6,136.38,136.38
382,7,136.38,
383,5,62.22,62.22
383,6,62.22,62.22
383,7,62.22,
384,5,36.05,36.05
384,6,36.05,36.05
384,7,36.05,
385,5,33.52,33.52
385,6,33.52,33.52
385,7,33.52,
386,5,85.23,85.23
386,6,85.23,85.23
386,7,85.23,
387,5,68.33,68.33
387,6,68.33,68.33
387,7,68.33,
388,5,81.96,81.96
388,6,81.96,81.96
388,7,81.96,
389,5,42.73,42.73
389,6,42.73,42.73
389,7,42.73,
390,5,25.20,25.20
390,6,25.20,25.20
390,7,25.20,
391,5,47.32,47.32
391,6,47.32,47.32
391,7,47.32,
392,5,83.75,83.75
392,6,83.75,83.75
392,7,83.75,
393,5,43.73,43.73
393,6,43.73,43.73
393,7,43.73,
394,5,31.22,31.22
394,6,31.22,31.22
394,7,31.22,
395,5,85.43,85.43
395,6,85.43,85.43
395,7,85.43,
396,5,25.17,25.17
396,6,25.17,25.17
396,7,25.17,
397,5,67.69,67.69
397,6,67.69,67.69
397,7,67.69,
398,5,69.15,69.15
398,6,69.15,69.15
398,7,69.15,
399,5,127.50,127.50
399,6,127.50,127.50
399,7,127.50,
400,5,37.39,37.39
400,6,37.39,37.39
400,7,37.39,
401,5,84.82,84.82
401,6,84.82,84.82
401,7,84.82,
402,5,84.48,84.48
402,6,84.48,84.48
402,7,84.48,
403,5,25.47,25.47
403,6,25.47,25.47
403,7,25.47,
404,5,108.60,108.60
404,6,108.60,108.60
404,7,108.60,
405,5,142.56,142.56
405,6,142.56,142.56
405,7,142.56,
406,5,33.49,33.49
406,6,33.49,33.49
406,7,33.49,
407,5,58.54,58.54
407,6,58.54,58.54
407,7,58.54,
408,5,116.28,116.28
408,6,116.28,116.28
408,7,116.28,
409,5,47.73,47.73
409,6,47.73,47.73
409,7,47.73,
410,5,27.46,27.46
410,6,27.46,27.46
410,7,27.46,
411,5,42.01,42.01
411,6,42.01,42.01
411,7,42.01,
412,5,55.37,55.37
412,6,55.37,55.37
412,7,55.37,
413,5,69.62,69.62
413,6,69.62,69.62
413,7,69.62,
414,5,23.42,23.42
414,6,23.42,23.42
414,7,23.42,
415,5,81.92,81.92
415,6,81.92,81.92
415,7,81.92,
416,5,34.74,34.74
416,6,34.74,34.74
416,7,34.74,
417,5,42.97,42.97
417,6,42.97,42.97
417,7,42.97,
418,5,133.64,133.64
418,6,133.64,133.64
418,7,133.64,
419,5,72.16,72.16
419,6,72.16,72.16
419,7,72.16,
420,5,46.91,46.91
420,6,46.91,46.91
420,7,46.91,
421,5,138.33,138.33
421,6,138.33,138.33
421,7,138.33,
422,5,38.36,38.36
422,6,38.36,38.36
422,7,38.36,
423,5,55.49,55.49
423,6,55.49,55.49
423,7,55.49,
